Pos,Player,Score2021,Score2020,Score2019,Score2018,Score
RB,Christian McCaffrey (CAR),18.210887657804445,29.00456730544994,33.615965825090186,26.97812584599551,22.88817729585395
RB,Alvin Kamara (NO),21.270647984372644,27.06492408606713,20.156848148733232,26.29850855537832,22.85923005478261
RB,Derrick Henry (TEN),24.323026459964005,22.42787635259004,21.197388385526306,10.734113862255104,22.857229495791298
RB,Jonathan Taylor (IND),24.190631159596453,18.156640859590258,0,0,22.41603461236463
RB,Austin Ekeler (LAC),24.783453900661122,18.613089464176703,21.77402093384229,11.73741824854234,22.287617712252192
RB,Najee Harris (PIT),21.199365270052656,0,0,0,21.199365270052656
RB,Dalvin Cook (MIN),18.028355796224083,27.81350313683154,24.895616644950387,14.265084427129006,20.973205147793823
RB,Joe Mixon (CIN),19.872034632897797,14.686677700839676,15.265174303302658,20.045506140037126,18.12368294228072
RB,Ezekiel Elliott (DAL),16.8406753291587,17.082269160782623,24.23760449288115,25.813753588018724,18.089420616379925
RB,Josh Jacobs (LV),18.504807829714686,16.88053951041098,15.986104717831154,0,17.812243397224545
RB,D'Andre Swift (DET),18.066323523338436,15.924410819328735,0,0,17.43638699708918
RB,Aaron Jones (GB),15.932549039004977,20.286798197080675,19.74108454513642,14.343622611185335,17.322518557746065
RB,Leonard Fournette (TB),20.224212338130762,8.740129908407537,20.708745027360695,14.946442820084693,17.137756523720647
RB,Nick Chubb (CLE),16.578343275761533,19.472979166752694,16.985803676183966,10.763761623813423,17.05201920595416
RB,James Conner (ARI),17.820346222733637,13.565651307443346,14.8278854294355,23.541816607743975,16.743499933831767
RB,David Montgomery (CHI),15.302996472475662,20.347671778758126,10.836683571790187,0,16.1599477971164
RB,Antonio Gibson (WAS),16.09121772684487,14.715218074960834,0,0,15.686536229225775
RB,James Robinson (JAC),12.423720020721106,20.55414165760193,0,0,14.814877024127757
RB,Elijah Mitchell (SF),14.719134217617428,0,0,0,14.719134217617428
RB,Cordarrelle Patterson (ATL),14.5899803276473,0,0,0,14.5899803276473
RB,Melvin Gordon III (DEN),13.007726284443063,14.227723538125367,17.031667339602656,27.115342518375225,14.420500515076208
RB,Kareem Hunt (CLE),12.836776325677105,14.316467562896582,11.0052726847436,23.260743091756822,13.54474710919261
RB,Chris Carson (SEA),10.593409391152708,17.899348738716753,17.623619141668748,15.748738081989043,13.38068163763714
RB,Clyde Edwards-Helaire (KC),12.144449157809753,15.487133181009787,0,0,13.127532529032884
RB,Damien Harris (NE),14.59451600206434,8.5655357322403,0,0,12.82139290470909
RB,Saquon Barkley (NYG),9.730589191031669,0,20.51250329004818,29.112141226789696,12.46056786121563
RB,Darrell Henderson Jr. (LAR),14.60865836877645,6.964684868297611,0,0,12.36056576228562
RB,Javonte Williams (DEN),12.197376326909357,0,0,0,12.197376326909357
RB,Myles Gaskin (MIA),9.065757493488736,18.610473235148124,0,0,11.87285839311076
RB,J.D. McKissic (WAS),11.347604966668555,12.109011586701106,0,0,11.571534653620127
RB,Miles Sanders (PHI),9.642048901110648,15.016068062418062,14.047031917938465,0,11.519798054122598
RB,Chase Edmonds (MIA),11.801846012894886,10.032962718661638,0,0,11.281617436060888
RB,Darrel Williams (KC),10.827499110404938,0,0,0,10.827499110404938
