Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
35,Leonard Fournette (TB),97,367,3.8,46,0,6,36,47,233,6.5,0,0,13,132,10.2,99.7%,2020
40,Leonard Fournette (TB),133,439,3.3,25,2,5,22,26,185,8.4,1,0,8,120.4,15.1,99.7%,2018
39,LeSean McCoy (FA),161,514,3.2,28,3,3,34,46,238,7,0,0,14,127.2,9.1,2.0%,2018
41,LeSean McCoy (FA),101,465,4.6,39,4,4,28,34,181,6.5,1,2,13,118.6,9.1,2.0%,2019
95,LeSean McCoy (FA),10,31,3.1,14,0,0,15,19,101,6.7,0,0,10,28.2,2.8,2.0%,2020
147,LeVante Bellamy (FA),4,11,2.8,8,0,0,1,1,5,5,0,0,5,2.6,0.5,0.0%,2020
194,LeVante Bellamy (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
43,Malcolm Brown (MIA),101,419,4.1,19,0,5,23,33,162,7,0,1,16,109.1,6.8,0.1%,2020
67,Malcolm Brown (MIA),69,255,3.7,17,0,5,2,6,16,8,0,0,14,59.1,4.2,0.1%,2019
85,Malcolm Brown (MIA),43,212,4.9,19,0,0,5,7,52,10.4,1,0,12,39.4,3.3,0.1%,2018
106,Malcolm Brown (MIA),33,125,3.8,24,0,1,3,5,10,3.3,0,0,6,22.5,3.8,0.1%,2021
86,Marcus Murphy (FA),52,250,4.8,30,1,0,11,19,26,2.4,0,0,11,38.6,3.5,0.0%,2018
11,Mark Ingram II (NO),202,"1,018",5,53,6,10,26,29,247,9.5,5,2,15,242.5,16.2,5.6%,2019
32,Mark Ingram II (NO),138,645,4.7,38,3,6,21,27,170,8.1,1,1,12,142.5,11.9,5.6%,2018
50,Mark Ingram II (NO),160,554,3.5,28,0,2,27,35,162,6,0,1,14,108.6,7.8,5.6%,2021
76,Mark Ingram II (NO),72,299,4.2,30,0,2,6,8,50,8.3,0,0,11,52.9,4.8,5.6%,2020
80,Mark Walton (FA),53,201,3.8,19,0,0,15,21,89,5.9,0,1,7,42,6,2.0%,2019
108,Mark Walton (FA),14,34,2.4,10,0,0,5,8,41,8.2,0,0,14,12.5,0.9,2.0%,2018
22,Marlon Mack (HOU),247,"1,091",4.4,63,9,8,14,17,82,5.9,0,0,14,181.3,13,29.5%,2019
21,Marlon Mack (HOU),195,908,4.7,49,7,9,17,26,103,6.1,1,2,12,178.1,14.8,29.5%,2018
121,Marlon Mack (HOU),28,101,3.6,22,0,0,2,5,8,4,0,0,6,12.9,2.2,29.5%,2021
129,Marlon Mack (HOU),4,26,6.5,18,0,0,3,3,30,10,0,0,1,8.6,8.6,29.5%,2020
64,Marshawn Lynch (FA),90,376,4.2,52,1,3,15,20,84,5.6,0,0,6,79,13.2,0.3%,2018
118,Marshawn Lynch (FA),12,34,2.8,15,0,1,0,0,0,0,0,0,2,9.4,4.7,0.3%,2019
26,Matt Breida (NYG),153,814,5.3,66,10,3,27,31,261,9.7,2,1,14,162.5,11.6,1.2%,2018
46,Matt Breida (NYG),123,623,5.1,83,4,1,19,22,120,6.3,1,1,13,103.3,7.9,1.2%,2019
86,Matt Breida (NYG),26,125,4.8,28,0,1,7,9,72,10.3,2,1,7,42.7,6.1,1.2%,2021
81,Matt Breida (NYG),59,254,4.3,24,0,0,9,10,96,10.7,0,1,12,42,3.5,1.2%,2020
323,Matt Dayes (FA),0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0%,2018
159,Mekhi Sargent (JAC),5,11,2.2,3,0,0,0,1,0,0,0,0,5,1.1,0.2,0.1%,2021
8,Melvin Gordon III (DEN),175,885,5.1,34,9,10,50,66,490,9.8,4,0,12,275.5,23,85.3%,2018
14,Melvin Gordon III (DEN),215,986,4.6,65,0,9,32,44,158,4.9,1,4,15,198.4,13.2,85.3%,2020
21,Melvin Gordon III (DEN),203,918,4.5,70,0,8,28,38,213,7.6,2,3,16,195.2,12.2,85.3%,2021
23,Melvin Gordon III (DEN),162,612,3.8,24,2,8,42,55,296,7,1,3,12,180.8,15.1,85.3%,2019
118,Michael Burton (KC),8,26,3.3,7,0,1,3,3,31,10.3,0,0,10,14.7,1.5,0.1%,2021
130,Michael Burton (KC),7,18,2.6,7,0,0,4,4,28,7,0,0,15,8.6,0.6,0.1%,2020
144,Michael Burton (KC),0,0,0,0,0,0,1,1,6,6,0,0,8,1.6,0.2,0.1%,2018
338,Michael Burton (KC),0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0.1%,2019
29,Michael Carter (NYJ),147,639,4.3,55,0,4,36,55,325,9,0,1,14,154.4,11,92.2%,2021
203,Michael Warren II (DET),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
75,Mike Boone (DEN),49,273,5.6,59,3,3,3,4,17,5.7,0,0,16,50,3.1,1.2%,2019
120,Mike Boone (DEN),11,59,5.4,19,0,1,2,2,10,5,0,0,16,14.9,0.9,1.2%,2020
132,Mike Boone (DEN),4,35,8.8,16,0,0,2,2,22,11,0,0,3,7.7,2.6,1.2%,2021
123,Mike Boone (DEN),11,47,4.3,20,1,0,2,3,1,0.5,0,0,8,6.8,0.9,1.2%,2018
12,Mike Davis (BAL),165,642,3.9,25,0,6,59,70,373,6.3,2,1,15,206.5,13.8,1.9%,2020
35,Mike Davis (BAL),138,503,3.6,18,0,3,44,58,259,5.9,1,3,17,138.2,8.1,1.9%,2021
36,Mike Davis (BAL),112,514,4.6,37,2,4,34,42,214,6.3,1,0,15,136.8,9.1,1.9%,2018
110,Mike Davis (BAL),13,27,2.1,8,0,0,7,8,22,3.1,0,0,12,11.9,1,1.9%,2019
129,Mike Gillislee (FA),16,43,2.7,5,0,0,1,1,9,9,0,1,4,4.2,1.1,0.0%,2018
332,Mike Gillislee (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
15,Miles Sanders (PHI),179,818,4.6,65,5,3,50,63,509,10.2,3,1,16,218.7,13.7,91.9%,2019
23,Miles Sanders (PHI),164,867,5.3,82,0,6,28,52,197,7,0,2,12,170.4,14.2,91.9%,2020
44,Miles Sanders (PHI),137,754,5.5,38,0,0,26,34,158,6.1,0,1,12,117.2,9.8,91.9%,2021
25,Myles Gaskin (MIA),173,612,3.5,30,0,3,49,63,234,4.8,4,1,17,173.6,10.2,23.6%,2021
28,Myles Gaskin (MIA),142,584,4.1,26,0,3,41,47,388,9.5,2,2,10,164.2,16.4,23.6%,2020
89,Myles Gaskin (MIA),36,133,3.7,27,1,1,7,12,51,7.3,0,0,7,31.4,4.5,23.6%,2019
3,Najee Harris (PIT),307,"1,200",3.9,37,0,7,74,94,467,6.3,3,0,17,300.7,17.7,99.8%,2021
278,Nate McCrary (BAL),1,-1,-1,0,0,0,0,0,0,0,0,0,1,-0.1,-0.1,0.1%,2021
164,Nathan Cottrell (JAC),1,3,3,3,0,0,0,0,0,0,0,0,3,0.3,0.1,0.0%,2021
172,Nathan Cottrell (JAC),0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.0%,2020
124,Nick Bawden (NYJ),0,0,0,0,0,0,4,6,17,4.3,0,0,10,5.7,0.6,0.0%,2019
151,Nick Bawden (NYJ),0,0,0,0,0,0,1,1,20,20,0,0,1,3,3,0.0%,2021
307,Nick Bellore (SEA),1,0,0,0,0,0,4,4,15,3.8,0,0,14,0,0,0.6%,2018
287,Nick Bellore (SEA),0,0,0,0,0,0,2,2,23,11.5,1,0,14,0,0,0.6%,2019
