Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
69,Brandon McManus (DEN),0,1,0,0,0,0,0,0,0,0,0,1,0,0,49.4%,2019,7
1,Brett Maher (FA),3,3,100,63,0,2,0,0,1,4,4,1,15,15,2.0%,2019,7
4,Brett Maher (FA),3,4,75,52,0,1,1,0,1,4,4,1,15,15,2.0%,2019,9
3,Brett Maher (FA),3,4,75,62,0,0,1,0,2,1,1,1,14,14,2.0%,2019,6
9,Brett Maher (FA),3,4,75,46,0,2,0,1,0,0,0,1,10,10,2.0%,2019,12
9,Brett Maher (FA),2,2,100,34,0,0,2,0,0,3,3,1,9,9,2.0%,2019,11
17,Brett Maher (FA),1,1,100,25,0,1,0,0,0,4,4,1,7,7,2.0%,2019,2
16,Brett Maher (FA),1,2,50,28,0,1,0,0,0,4,4,1,7,7,2.0%,2019,3
22,Brett Maher (FA),1,3,33.3,36,0,0,1,0,0,3,3,1,6,6,2.0%,2019,5
17,Brett Maher (FA),1,2,50,23,0,1,0,0,0,3,3,1,6,6,2.0%,2019,10
22,Brett Maher (FA),1,2,50,31,0,0,1,0,0,3,3,1,6,6,2.0%,2019,14
22,Brett Maher (FA),0,0,0,0,0,0,0,0,0,5,5,1,5,5,2.0%,2019,1
25,Brett Maher (FA),1,1,100,28,0,1,0,0,0,1,1,1,4,4,2.0%,2019,4
31,Brett Maher (FA),0,2,0,0,0,0,0,0,0,1,1,1,1,1,2.0%,2019,13
6,Cairo Santos (CHI),2,2,100,53,0,0,1,0,1,5,5,1,13,13,0.7%,2019,1
14,Cairo Santos (CHI),1,1,100,45,0,0,0,1,0,3,3,1,7,7,0.7%,2019,4
18,Cairo Santos (CHI),1,2,50,49,0,0,0,1,0,2,2,1,6,6,0.7%,2019,2
32,Cairo Santos (CHI),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.7%,2019,3
28,Cairo Santos (CHI),0,4,0,0,0,0,0,0,0,1,1,1,1,1,0.7%,2019,5
72,Caleb Sturgis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
2,Chase McLaughlin (FA),3,3,100,48,0,2,0,1,0,4,4,1,14,14,0.2%,2019,12
5,Chase McLaughlin (FA),3,4,75,47,0,0,1,2,0,1,1,1,12,12,0.2%,2019,10
8,Chase McLaughlin (FA),2,3,66.7,50,1,0,0,0,1,3,3,1,11,11,0.2%,2019,14
9,Chase McLaughlin (FA),2,2,100,50,0,1,0,0,1,2,2,1,10,10,0.2%,2019,7
13,Chase McLaughlin (FA),2,2,100,50,0,1,0,0,1,2,2,1,10,10,0.2%,2019,17
14,Chase McLaughlin (FA),2,3,66.7,45,0,0,1,1,0,1,1,1,8,8,0.2%,2019,5
16,Chase McLaughlin (FA),1,1,100,35,0,0,1,0,0,5,5,1,8,8,0.2%,2019,16
10,Chase McLaughlin (FA),1,1,100,43,0,0,0,1,0,3,3,1,7,7,0.2%,2019,11
22,Chase McLaughlin (FA),1,2,50,38,0,0,1,0,0,2,2,1,5,5,0.2%,2019,6
24,Chase McLaughlin (FA),1,2,50,20,0,1,0,0,0,2,2,1,5,5,0.2%,2019,8
