Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Matt Gay (LAR),4,5,80,52,0,2,0,1,1,1,3,1,16,16,78.3%,2019,3
2,Dan Bailey (FA),2,2,100,50,0,1,0,0,1,4,4,1,12,12,0.0%,2019,3
3,Mason Crosby (GB),2,3,66.7,42,0,0,0,2,0,3,3,1,11,11,23.3%,2019,3
4,Adam Vinatieri (FA),2,2,100,49,0,1,0,1,0,3,3,1,10,10,0.2%,2019,3
5,Harrison Butker (KC),2,2,100,42,0,0,1,1,0,3,4,1,10,10,81.3%,2019,3
6,Greg Zuerlein (NYJ),2,3,66.7,53,0,0,1,0,1,2,2,1,10,10,17.8%,2019,3
7,Josh Lambo (FA),2,2,100,48,0,0,0,2,0,2,2,1,10,10,0.1%,2019,3
8,Chris Boswell (PIT),2,2,100,46,0,1,0,1,0,2,2,1,9,9,10.7%,2019,3
9,Zane Gonzalez (CAR),2,2,100,47,0,0,1,1,0,2,2,1,9,9,0.5%,2019,3
10,Matt Prater (ARI),2,3,66.7,33,0,1,1,0,0,3,3,1,9,9,53.5%,2019,3
11,Ty Long (FA),2,2,100,43,0,0,1,1,0,2,2,1,9,9,0.7%,2019,3
12,Stephen Hauschka (FA),2,3,66.7,45,0,0,1,1,0,1,1,1,8,8,0.0%,2019,3
13,Joey Slye (WAS),1,1,100,36,0,0,1,0,0,5,5,1,8,8,0.6%,2019,3
14,Eddy Pineiro (NYJ),1,2,50,38,0,0,1,0,0,4,4,1,7,7,0.1%,2019,3
15,Austin Seibert (DET),2,2,100,35,0,1,1,0,0,1,1,1,7,7,0.1%,2019,3
16,Brett Maher (FA),1,2,50,28,0,1,0,0,0,4,4,1,7,7,2.0%,2019,3
17,Stephen Gostkowski (FA),1,1,100,37,0,0,1,0,0,3,4,1,6,6,0.1%,2019,3
18,Aldrick Rosas (DET),1,1,100,36,0,0,1,0,0,3,3,1,6,6,0.1%,2019,3
19,Jason Sanders (MIA),2,3,66.7,33,0,1,1,0,0,0,0,1,6,6,9.0%,2019,3
20,Robbie Gould (SF),1,1,100,24,0,1,0,0,0,3,3,1,6,6,32.9%,2019,3
21,Randy Bullock (TEN),1,1,100,43,0,0,0,1,0,2,2,1,6,6,2.0%,2019,3
22,Jake Elliott (PHI),1,1,100,25,0,1,0,0,0,3,3,1,6,6,14.1%,2019,3
23,Matt Bryant (FA),1,1,100,34,0,0,1,0,0,3,3,1,6,6,1.1%,2019,3
24,Brandon McManus (DEN),1,1,100,30,0,0,1,0,0,1,2,1,4,4,49.4%,2019,3
25,Justin Tucker (BAL),1,1,100,39,0,0,1,0,0,1,1,1,4,4,99.5%,2019,3
26,Dustin Hopkins (LAC),1,2,50,35,0,0,1,0,0,0,0,1,3,3,3.2%,2019,3
27,Ka'imi Fairbairn (HOU),0,1,0,0,0,0,0,0,0,3,4,1,3,3,0.3%,2019,3
28,Jason Myers (SEA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,3.6%,2019,3
29,Wil Lutz (NO),0,0,0,0,0,0,0,0,0,3,4,1,3,3,4.0%,2019,3
30,Sam Ficken (FA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2019,3
31,Daniel Carlson (LV),0,1,0,0,0,0,0,0,0,2,2,1,2,2,89.9%,2019,3
32,Cairo Santos (CHI),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.7%,2019,3
70,Michael Palardy (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3%,2019,3
