Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Joe Burrow (CIN),28,37,75.7,300,8.1,3,0,3,4,25,1,0,1,32.5,32.5,99.7%,2022,6
2,Matt Ryan (IND),42,58,72.4,389,6.7,3,0,0,1,-4,0,0,1,27.2,27.2,8.8%,2022,6
3,Josh Allen (BUF),27,40,67.5,329,8.2,3,0,1,12,32,0,1,1,26.4,26.4,100.0%,2022,6
4,Trevor Lawrence (JAC),20,22,90.9,165,7.5,1,0,4,6,23,2,0,1,24.9,24.9,85.9%,2022,6
5,Marcus Mariota (ATL),13,14,92.9,129,9.2,2,0,2,6,50,1,0,1,24.2,24.2,16.1%,2022,6
6,Patrick Mahomes II (KC),25,40,62.5,338,8.5,2,2,3,4,21,0,0,1,21.6,21.6,100.0%,2022,6
7,Teddy Bridgewater (MIA),23,34,67.6,329,9.7,2,2,5,1,10,0,0,1,20.2,20.2,5.4%,2022,6
8,Justin Fields (CHI),14,27,51.9,190,7,1,1,5,12,88,0,0,1,19.4,19.4,92.2%,2022,6
9,Jimmy Garoppolo (SF),29,41,70.7,296,7.2,2,2,0,3,11,0,0,1,18.9,18.9,13.5%,2022,6
10,Bailey Zappe (NE),24,34,70.6,309,9.1,2,0,2,3,-4,0,1,1,17.9,17.9,0.3%,2022,6
11,Lamar Jackson (BAL),17,32,53.1,210,6.6,1,1,2,7,77,0,1,1,17.1,17.1,92.4%,2022,6
12,Jalen Hurts (PHI),15,25,60,155,6.2,2,0,4,9,27,0,0,1,16.9,16.9,98.9%,2022,6
13,Kirk Cousins (MIN),20,30,66.7,175,5.8,2,0,3,2,-5,0,0,1,16.5,16.5,92.3%,2022,6
14,Kyler Murray (ARI),23,37,62.2,222,6,0,1,6,10,100,0,1,1,15.9,15.9,53.7%,2022,6
15,Russell Wilson (DEN),15,28,53.6,188,6.7,1,0,4,4,23,0,0,1,13.8,13.8,45.7%,2022,6
16,Tom Brady (TB),25,40,62.5,243,6.1,1,0,2,1,0,0,0,1,13.7,13.7,87.4%,2022,6
17,Daniel Jones (NYG),19,27,70.4,173,6.4,2,0,4,6,6,0,1,1,13.5,13.5,64.1%,2022,6
18,Matthew Stafford (LAR),26,33,78.8,253,7.7,1,1,1,2,-3,0,0,1,12.8,12.8,28.1%,2022,6
19,Geno Smith (SEA),20,31,64.5,197,6.4,0,0,5,6,48,0,0,1,12.7,12.7,86.2%,2022,6
20,Aaron Rodgers (GB),26,41,63.4,246,6,1,0,4,1,0,0,1,1,11.8,11.8,83.7%,2022,6
21,Jacoby Brissett (CLE),21,45,46.7,266,5.9,1,2,4,1,0,0,1,1,10.6,10.6,3.8%,2022,6
22,Andy Dalton (NO),17,32,53.1,162,5.1,1,0,1,0,0,0,0,1,10.5,10.5,10.5%,2022,6
23,Mitch Trubisky (PIT),9,12,75,144,12,1,0,1,6,5,0,0,1,10.3,10.3,0.8%,2022,6
24,Justin Herbert (LAC),37,57,64.9,238,4.2,0,1,2,2,9,0,0,1,9.4,9.4,98.4%,2022,6
25,Kenny Pickett (PIT),11,18,61.1,67,3.7,1,0,1,2,16,0,0,1,8.3,8.3,11.2%,2022,6
26,Cooper Rush (DAL),18,38,47.4,181,4.8,1,3,0,0,0,0,0,1,8.2,8.2,0.5%,2022,6
27,Zach Wilson (NYJ),10,18,55.6,110,6.1,0,0,2,5,1,0,0,1,4.5,4.5,6.4%,2022,6
28,Skylar Thompson (MIA),7,13,53.8,89,6.8,0,0,1,1,9,0,0,1,4.5,4.5,0.6%,2022,6
29,Carson Wentz (WAS),12,22,54.5,99,4.5,0,0,3,2,2,0,0,1,4.2,4.2,8.4%,2022,6
30,PJ Walker (CAR),10,16,62.5,60,3.8,0,0,2,1,-1,0,0,1,2.3,2.3,0.7%,2022,6
31,Jacob Eason (FA),3,5,60,59,11.8,0,1,0,0,0,0,0,1,1.4,1.4,0.0%,2022,6
32,Jordan Love (GB),2,4,50,8,2,0,0,0,0,0,0,0,1,0.3,0.3,0.9%,2022,6
104,Taysom Hill (NO),2,4,50,16,4,0,0,0,5,39,0,0,1,0,0,49.2%,2022,6
