Rank,Player,CMP,PassATT,PCT,PassYDS,PassY/A,PassTD,INT,SACKS,RushATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Josh Allen (BUF),24,42,57.1,253,6,2,1,3,10,78,1,0,1,30.9,30.9,100.0%,2022,12
2,Jalen Hurts (PHI),16,28,57.1,153,5.5,2,0,2,17,157,0,0,1,29.8,29.8,98.9%,2022,12
3,Justin Herbert (LAC),35,47,74.5,274,5.8,3,0,4,4,38,0,0,1,28.8,28.8,98.4%,2022,12
4,Kyler Murray (ARI),18,29,62.1,191,6.6,2,1,1,7,56,1,0,1,26.2,26.2,53.7%,2022,12
5,Trevor Lawrence (JAC),29,37,78.4,321,8.7,3,0,4,2,1,0,1,1,24.9,24.9,85.9%,2022,12
6,Mike White (NYJ),22,28,78.6,315,11.3,3,0,1,3,2,0,0,1,24.8,24.8,20.7%,2022,12
7,Mac Jones (NE),28,39,71.8,382,9.8,2,0,3,0,0,0,0,1,23.3,23.3,14.5%,2022,12
8,Lamar Jackson (BAL),16,32,50,254,7.9,1,0,1,14,89,0,1,1,23.1,23.1,92.4%,2022,12
9,Kirk Cousins (MIN),30,37,81.1,299,8.1,3,1,1,1,-1,0,0,1,22.9,22.9,92.3%,2022,12
10,Derek Carr (LV),25,36,69.4,295,8.2,3,2,1,2,10,0,0,1,22.8,22.8,54.7%,2022,12
11,Geno Smith (SEA),27,37,73,328,8.9,2,1,3,5,22,0,1,1,20.3,20.3,86.2%,2022,12
12,Patrick Mahomes II (KC),27,42,64.3,320,7.6,1,1,0,4,36,0,0,1,19.4,19.4,100.0%,2022,12
13,Joe Burrow (CIN),22,37,59.5,270,7.3,1,0,1,9,32,0,0,1,18,18,99.7%,2022,12
14,Tom Brady (TB),29,43,67.4,246,5.7,2,0,3,1,2,0,0,1,18,18,87.4%,2022,12
15,Jared Goff (DET),23,37,62.2,240,6.5,2,0,2,0,0,0,0,1,17.6,17.6,77.6%,2022,12
16,Sam Darnold (CAR),11,19,57.9,164,8.6,1,0,0,3,3,1,0,1,16.9,16.9,5.3%,2022,12
17,Dak Prescott (DAL),21,30,70,261,8.7,2,2,0,2,4,0,0,1,16.8,16.8,93.5%,2022,12
18,Tua Tagovailoa (MIA),22,36,61.1,299,8.3,1,0,4,0,0,0,0,1,16,16,81.9%,2022,12
19,Marcus Mariota (ATL),15,25,60,174,7,1,1,1,6,49,0,0,1,14.9,14.9,16.1%,2022,12
20,Daniel Jones (NYG),21,35,60,228,6.5,1,0,3,3,14,0,0,1,14.5,14.5,64.1%,2022,12
21,Jacoby Brissett (CLE),23,37,62.2,210,5.7,1,1,4,2,27,0,0,1,14.1,14.1,3.8%,2022,12
22,Jimmy Garoppolo (SF),26,37,70.3,222,6,1,0,1,4,4,0,0,1,13.3,13.3,13.5%,2022,12
23,Ryan Tannehill (TEN),22,34,64.7,291,8.6,0,0,1,2,9,0,0,1,12.5,12.5,18.6%,2022,12
24,Taylor Heinicke (WAS),14,23,60.9,138,6,2,1,0,1,-1,0,0,1,12.4,12.4,11.6%,2022,12
25,Kenny Pickett (PIT),20,28,71.4,174,6.2,0,0,3,6,32,0,0,1,12.2,12.2,11.2%,2022,12
26,Kyle Allen (HOU),26,39,66.7,215,5.5,1,2,5,4,12,0,0,1,11.8,11.8,0.2%,2022,12
27,Aaron Rodgers (GB),11,16,68.8,140,8.8,2,2,3,1,-1,0,0,1,11.5,11.5,83.7%,2022,12
28,Matt Ryan (IND),22,34,64.7,199,5.9,1,1,3,4,22,0,1,1,11.2,11.2,8.8%,2022,12
29,Trevor Siemian (CHI),14,25,56,179,7.2,1,1,2,4,8,0,0,1,11,11,0.0%,2022,12
30,Bryce Perkins (LAR),13,23,56.5,100,4.3,1,2,3,9,44,0,0,1,10.4,10.4,0.2%,2022,12
31,Andy Dalton (NO),18,29,62.1,204,7,0,0,1,4,21,0,0,1,10.3,10.3,10.5%,2022,12
32,Russell Wilson (DEN),19,35,54.3,142,4.1,1,0,3,2,8,0,1,1,8.5,8.5,45.7%,2022,12
33,Jordan Love (GB),6,9,66.7,113,12.6,1,0,0,0,0,0,0,1,8.5,8.5,0.9%,2022,12
106,Taysom Hill (NO),0,1,0,0,0,0,0,0,6,13,0,0,1,0,0,49.2%,2022,12
114,Matt Barkley (BUF),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2022,12
122,Skylar Thompson (MIA),1,5,20,6,1.2,0,0,1,6,5,0,1,1,-1.3,-1.3,0.6%,2022,12
