Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
19,Adam Shaheen (MIA),3,4,34,11.3,21,0,0,0,0,0,0,1,6.4,6.4,0.1%,2021,10
22,Adam Shaheen (MIA),4,5,23,5.8,7,0,0,0,0,0,0,1,6.3,6.3,0.1%,2021,7
42,Adam Shaheen (MIA),2,2,15,7.5,10,0,0,0,0,0,0,1,3.5,3.5,0.1%,2021,5
37,Adam Shaheen (MIA),1,1,19,19,19,0,0,0,0,0,0,1,2.9,2.9,0.1%,2021,11
42,Adam Shaheen (MIA),1,2,11,11,11,0,0,0,0,0,0,1,2.1,2.1,0.1%,2021,9
44,Adam Shaheen (MIA),1,1,8,8,8,0,0,0,0,0,0,1,1.8,1.8,0.1%,2021,8
228,Adam Shaheen (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,2
227,Adam Shaheen (MIA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,3
222,Adam Shaheen (MIA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021,4
4,Adam Trautman (NO),5,8,58,11.6,19,0,1,0,0,0,0,1,16.8,16.8,3.2%,2021,11
15,Adam Trautman (NO),1,1,18,18,18,0,1,0,0,0,0,1,8.8,8.8,3.2%,2021,18
21,Adam Trautman (NO),4,7,47,11.8,25,0,0,0,0,0,0,1,8.7,8.7,3.2%,2021,9
14,Adam Trautman (NO),5,6,32,6.4,8,0,0,0,0,0,0,1,8.2,8.2,3.2%,2021,10
24,Adam Trautman (NO),2,2,43,21.5,32,0,0,0,0,0,0,1,6.3,6.3,3.2%,2021,5
36,Adam Trautman (NO),3,6,18,6,8,0,0,0,0,0,0,1,4.8,4.8,3.2%,2021,1
29,Adam Trautman (NO),3,3,36,12,15,0,0,0,0,0,1,1,4.6,4.6,3.2%,2021,7
40,Adam Trautman (NO),2,6,4,2,5,0,0,0,0,0,0,1,2.4,2.4,3.2%,2021,8
53,Adam Trautman (NO),1,2,4,4,4,0,0,0,0,0,0,1,1.4,1.4,3.2%,2021,15
54,Adam Trautman (NO),1,1,3,3,3,0,0,0,0,0,0,1,1.3,1.3,3.2%,2021,4
55,Adam Trautman (NO),0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.2%,2021,3
