Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
46,Matt Breida (NYG),123,623,5.1,83,4,1,19,22,120,6.3,1,1,13,103.3,7.9,1.2%,2019
47,Kareem Hunt (CLE),43,179,4.2,16,0,2,37,44,285,7.7,1,0,9,101.4,11.3,91.2%,2019
48,Rex Burkhead (HOU),65,302,4.6,33,1,3,27,38,279,10.3,0,1,13,101.1,7.8,11.8%,2019
49,Boston Scott (PHI),61,245,4,25,1,5,24,26,204,8.5,0,1,11,96.9,8.8,2.9%,2019
50,Frank Gore (FA),166,599,3.6,41,4,2,13,16,100,7.7,0,0,16,94.9,5.9,12.2%,2019
51,Chris Thompson (FA),37,138,3.7,16,0,0,42,58,378,9,0,0,11,93.6,8.5,0.0%,2019
52,Gus Edwards (BAL),133,711,5.3,63,5,2,7,7,45,6.4,0,1,16,92.6,5.8,38.9%,2019
53,Tony Pollard (DAL),86,455,5.3,44,4,2,15,20,107,7.1,1,1,15,89.2,5.9,90.4%,2019
54,Kerryon Johnson (FA),113,403,3.6,20,1,3,10,15,127,12.7,1,1,8,85,10.6,0.1%,2019
55,J.D. McKissic (WAS),38,205,5.4,44,2,0,34,42,233,6.9,1,0,16,83.8,5.2,65.5%,2019
56,Jalen Richard (FA),39,145,3.7,13,0,0,36,43,323,9,0,0,16,82.8,5.2,1.0%,2019
57,Chase Edmonds (MIA),60,303,5.1,37,4,4,12,21,105,8.8,1,0,13,82.8,6.4,90.2%,2019
58,Dare Ogunbowale (HOU),11,17,1.5,12,0,2,35,46,286,8.2,0,1,16,75.3,4.7,0.8%,2019
59,Rashaad Penny (SEA),65,370,5.7,58,4,3,8,11,83,10.4,1,1,10,75.3,7.5,88.3%,2019
60,Giovani Bernard (TB),53,170,3.2,25,1,0,30,43,234,7.8,0,1,16,68.4,4.3,0.9%,2019
61,Alexander Mattison (MIN),100,462,4.6,35,4,1,10,12,82,8.2,0,1,13,68.4,5.3,72.5%,2019
62,Patrick Laird (MIA),62,168,2.7,18,0,1,23,30,204,8.9,0,0,15,68.2,4.5,0.0%,2019
63,Darrel Williams (KC),41,141,3.4,41,1,3,15,20,167,11.1,1,1,12,67.8,5.7,1.7%,2019
64,Brian Hill (SF),78,323,4.1,27,2,2,10,14,69,6.9,1,0,12,67.2,5.6,0.0%,2019
65,Dion Lewis (FA),54,209,3.9,17,0,0,25,32,164,6.6,1,1,16,66.3,4.1,2.0%,2019
66,Ty Johnson (NYJ),63,273,4.3,40,1,0,24,31,109,4.5,0,1,16,60.2,3.8,1.1%,2019
67,Malcolm Brown (MIA),69,255,3.7,17,0,5,2,6,16,8,0,0,14,59.1,4.2,0.1%,2019
68,Benny Snell Jr. (PIT),108,426,3.9,23,3,2,3,4,23,7.7,0,1,13,57.9,4.5,0.9%,2019
69,Derrius Guice (FA),42,245,5.8,60,3,2,7,9,79,11.3,1,0,5,57.4,11.5,1.1%,2019
70,Jordan Wilkins (TEN),51,307,6,55,2,2,7,11,43,6.1,0,0,14,54,3.9,0.1%,2019
71,Kalen Ballage (PIT),74,135,1.8,8,0,3,14,24,63,4.5,0,0,12,51.8,4.3,0.0%,2019
72,Ryquell Armstead (JAC),35,108,3.1,16,0,0,14,24,144,10.3,2,0,16,51.2,3.2,0.3%,2019
73,Brandon Bolden (LV),15,68,4.5,21,1,3,9,11,111,12.3,1,0,15,50.9,3.4,0.8%,2019
74,Kyle Juszczyk (SF),3,7,2.3,6,0,0,20,24,239,12,1,0,12,50.6,4.2,0.9%,2019
75,Mike Boone (DEN),49,273,5.6,59,3,3,3,4,17,5.7,0,0,16,50,3.1,1.2%,2019
76,Justice Hill (BAL),58,225,3.9,18,0,2,8,15,70,8.8,0,0,16,49.5,3.1,0.2%,2019
77,Wayne Gallman Jr. (FA),29,110,3.8,22,1,2,11,16,102,9.3,1,1,10,48.2,4.8,0.1%,2019
78,Jeff Wilson Jr. (SF),27,105,3.9,25,1,4,3,5,34,11.3,1,0,11,46.9,4.3,1.7%,2019
79,Bo Scarbrough (FA),89,377,4.2,30,2,1,1,4,5,5,0,1,6,43.2,7.2,0.0%,2019
80,Mark Walton (FA),53,201,3.8,19,0,0,15,21,89,5.9,0,1,7,42,6,2.0%,2019
81,Jonathan Williams (WAS),49,235,4.8,48,1,1,5,5,59,11.8,0,0,9,40.4,4.5,0.1%,2019
82,Ameer Abdullah (LV),23,115,5,15,0,0,15,21,88,5.9,1,1,16,39.3,2.5,0.8%,2019
83,Dontrell Hilliard (TEN),13,49,3.8,11,0,2,12,15,92,7.7,0,0,14,38.1,2.7,7.6%,2019
84,C.J. Ham (MIN),7,17,2.4,9,0,0,17,26,149,8.8,1,1,16,37.6,2.4,0.2%,2019
85,Ito Smith (FA),22,106,4.8,28,1,1,11,14,87,7.9,0,0,7,36.3,5.2,0.0%,2019
86,Bilal Powell (FA),59,229,3.9,17,0,0,7,12,33,4.7,0,0,14,33.2,2.4,0.0%,2019
87,Ty Montgomery (NE),32,103,3.2,15,0,0,13,17,90,6.9,0,0,16,32.3,2,0.1%,2019
88,Darwin Thompson (SEA),37,128,3.5,12,0,1,9,10,43,4.8,0,0,12,32.1,2.7,0.1%,2019
89,Myles Gaskin (MIA),36,133,3.7,27,1,1,7,12,51,7.3,0,0,7,31.4,4.5,23.6%,2019
90,Justin Jackson (FA),29,200,6.9,40,3,0,9,11,22,2.4,0,0,7,31.2,4.5,0.8%,2019
91,Qadree Ollison (ATL),22,50,2.3,6,0,4,1,2,7,7,0,0,8,30.7,3.8,0.1%,2019
92,T.J. Yeldon (FA),17,63,3.7,12,0,0,13,15,124,9.5,0,1,6,29.7,5,0.0%,2019
93,Reggie Bonnafon (WAS),16,116,7.3,59,1,1,6,10,57,9.5,0,0,16,29.3,1.8,0.1%,2019
94,C.J. Prosise (FA),23,72,3.1,17,0,1,10,12,76,7.6,0,1,9,28.8,3.2,0.0%,2019
95,Travis Homer (SEA),18,114,6.3,29,1,0,11,13,56,5.1,0,0,16,28,1.8,0.2%,2019
96,Wendell Smallwood (FA),22,81,3.7,17,0,0,9,13,64,7.1,0,0,15,23.5,1.6,0.0%,2019
97,Darrell Henderson Jr. (LAR),39,147,3.8,22,1,0,4,6,37,9.3,0,0,13,22.4,1.7,59.8%,2019
98,Trey Edmunds (PIT),22,92,4.2,45,1,0,6,7,48,8,0,0,12,20,1.7,0.6%,2019
99,Alec Ingold (MIA),10,17,1.7,4,0,0,6,6,44,7.3,1,0,16,18.1,1.1,0.1%,2019
100,Darren Sproles (FA),17,66,3.9,17,0,0,6,10,24,4,0,0,6,17,2.8,0.1%,2019
101,Danny Vitale (FA),1,3,3,3,0,0,7,12,97,13.9,0,0,15,17,1.1,0.0%,2019
102,Wes Hills (FA),10,21,2.1,15,0,2,2,2,1,0.5,0,0,1,16.2,16.2,0.1%,2019
103,Andy Janovich (HOU),1,1,1,1,0,1,5,5,42,8.4,0,0,8,15.3,1.9,0.0%,2019
104,D'Ernest Johnson (CLE),4,21,5.3,13,0,0,6,7,71,11.8,0,0,16,15.2,1,16.7%,2019
105,Kenjon Barner (TB),4,28,7,12,0,0,6,8,22,3.7,0,1,14,15.1,1.1,0.6%,2019
106,Kerrith Whyte Jr. (FA),24,122,5.1,21,1,0,1,1,9,9,0,0,6,14.1,2.4,0.0%,2019
107,Derek Watt (PIT),7,10,1.4,3,0,1,3,5,32,10.7,0,0,16,13.2,0.8,0.3%,2019
108,Devontae Booker (FA),2,9,4.5,5,0,0,6,9,57,9.5,0,0,16,12.6,0.8,0.5%,2019
109,Spencer Ware (FA),17,51,3,6,0,0,5,7,22,4.4,0,0,3,12.3,4.1,0.0%,2019
110,Mike Davis (BAL),13,27,2.1,8,0,0,7,8,22,3.1,0,0,12,11.9,1,1.9%,2019
111,Zach Line (FA),7,20,2.9,5,0,0,6,10,36,6,0,0,12,11.6,1,0.0%,2019
