Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,San Francisco 49ers (SF),3,3,1,2,2,0,0,1,27,27,83.9%,2019,1
2,Tennessee Titans (TEN),5,3,0,0,1,1,0,1,23,23,8.1%,2019,1
3,New York Jets (NYJ),1,2,2,1,1,1,0,1,18,18,2.0%,2019,1
4,Minnesota Vikings (MIN),4,2,1,1,0,0,0,1,14,14,12.2%,2019,1
5,Green Bay Packers (GB),5,1,0,0,0,0,0,1,14,14,75.5%,2019,1
6,Baltimore Ravens (BAL),3,2,1,0,0,0,0,1,13,13,44.1%,2019,1
7,Tampa Bay Buccaneers (TB),1,1,1,0,1,0,0,1,12,12,95.4%,2019,1
8,Seattle Seahawks (SEA),5,0,3,3,0,0,0,1,12,12,5.1%,2019,1
9,Buffalo Bills (BUF),4,0,1,0,0,0,0,1,10,10,99.6%,2019,1
10,New England Patriots (NE),1,1,0,1,0,0,0,1,10,10,46.6%,2019,1
11,Los Angeles Rams (LAR),3,1,2,2,0,0,0,1,9,9,69.6%,2019,1
12,Chicago Bears (CHI),5,0,0,1,0,0,0,1,9,9,2.9%,2019,1
13,Arizona Cardinals (ARI),3,0,2,2,0,0,0,1,7,7,14.4%,2019,1
14,Detroit Lions (DET),5,1,0,0,0,0,0,1,7,7,1.1%,2019,1
15,Indianapolis Colts (IND),4,1,1,1,0,0,0,1,7,7,57.4%,2019,1
16,New Orleans Saints (NO),6,1,0,0,0,0,0,1,7,7,80.6%,2019,1
17,Dallas Cowboys (DAL),1,0,2,3,0,0,0,1,6,6,73.8%,2019,1
18,Cincinnati Bengals (CIN),4,0,1,1,0,0,0,1,6,6,22.4%,2019,1
19,Kansas City Chiefs (KC),1,1,1,1,0,0,0,1,5,5,41.6%,2019,1
20,Las Vegas Raiders (LV),3,0,0,1,0,0,0,1,4,4,6.4%,2019,1
21,Houston Texans (HOU),1,1,0,1,0,0,0,1,2,2,3.8%,2019,1
22,Los Angeles Chargers (LAC),2,0,0,0,0,0,0,1,2,2,52.5%,2019,1
23,Carolina Panthers (CAR),1,1,0,0,0,0,0,1,2,2,6.1%,2019,1
24,Philadelphia Eagles (PHI),1,0,0,0,0,0,0,1,1,1,40.7%,2019,1
25,Washington Commanders (WAS),1,0,0,0,0,0,0,1,0,0,40.4%,2019,1
26,Pittsburgh Steelers (PIT),1,0,0,0,0,0,0,1,0,0,23.6%,2019,1
27,Atlanta Falcons (ATL),1,0,0,1,0,0,0,1,0,0,0.5%,2019,1
28,Denver Broncos (DEN),0,0,0,0,0,0,0,1,0,0,44.1%,2019,1
29,Cleveland Browns (CLE),4,0,0,0,0,0,0,1,0,0,21.9%,2019,1
30,Miami Dolphins (MIA),1,0,0,0,0,0,0,1,-3,-3,58.2%,2019,1
31,New York Giants (NYG),0,0,0,0,0,0,0,1,-4,-4,1.8%,2019,1
32,Jacksonville Jaguars (JAC),0,0,0,0,0,0,0,1,-4,-4,1.0%,2019,1
