Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Ka'imi Fairbairn (HOU),5,5,100,53,0,0,2,2,1,2,2,1,21,21,0.6%,2018,13
2,Jason Myers (SEA),5,5,100,54,0,0,3,1,1,1,1,1,19,19,1.9%,2018,13
3,Justin Tucker (BAL),4,4,100,47,0,1,0,3,0,2,2,1,17,17,99.3%,2018,13
4,Aldrick Rosas (FA),3,3,100,57,0,0,1,1,1,3,3,1,15,15,0.0%,2018,13
5,Greg Zuerlein (NYJ),3,3,100,48,0,1,0,2,0,3,3,1,14,14,7.5%,2018,13
6,Daniel Carlson (LV),2,2,100,50,0,0,0,1,1,3,3,1,12,12,93.3%,2018,13
7,Harrison Butker (KC),2,2,100,50,0,1,0,0,1,4,5,1,12,12,94.7%,2018,13
8,Zane Gonzalez (CAR),2,2,100,44,0,0,0,2,0,2,2,1,10,10,0.7%,2018,13
9,Matt Prater (ARI),3,3,100,35,0,2,1,0,0,1,1,1,10,10,72.8%,2018,13
10,Jake Elliott (PHI),2,2,100,46,0,0,0,2,0,2,2,1,10,10,20.2%,2018,13
11,Cody Parkey (FA),2,2,100,36,0,1,1,0,0,3,3,1,9,9,0.1%,2018,13
12,Dustin Hopkins (LAC),2,2,100,47,0,0,0,2,0,1,1,1,9,9,14.5%,2018,13
13,Ryan Succop (TB),2,2,100,33,0,1,1,0,0,2,3,1,8,8,27.5%,2018,13
14,Brett Maher (FA),2,2,100,46,0,1,0,1,0,1,1,1,8,8,2.0%,2018,13
15,Sebastian Janikowski (FA),1,1,100,40,0,0,0,1,0,4,6,1,8,8,20.0%,2018,13
16,Chris Boswell (PIT),1,1,100,48,0,0,0,1,0,3,4,1,7,7,9.2%,2018,13
17,Josh Lambo (FA),2,2,100,37,0,0,2,0,0,0,0,1,6,6,0.0%,2018,13
18,Cairo Santos (CHI),1,1,100,35,0,0,1,0,0,3,3,1,6,6,1.3%,2018,13
19,Stephen Gostkowski (FA),1,2,50,20,0,1,0,0,0,3,3,1,6,6,0.1%,2018,13
20,Brandon McManus (DEN),1,2,50,29,0,1,0,0,0,3,3,1,6,6,59.4%,2018,13
21,Michael Badgley (FA),1,2,50,29,0,1,0,0,0,2,2,1,5,5,15.6%,2018,13
22,Mason Crosby (GB),1,2,50,32,0,0,1,0,0,2,2,1,5,5,4.8%,2018,13
23,Robbie Gould (SF),1,1,100,45,0,0,0,1,0,1,1,1,5,5,21.5%,2018,13
24,Matt Bryant (FA),1,1,100,44,0,0,0,1,0,1,1,1,5,5,1.1%,2018,13
25,Graham Gano (NYG),1,1,100,37,0,0,1,0,0,2,2,1,5,5,28.6%,2018,13
26,Wil Lutz (NO),1,1,100,33,0,0,1,0,0,1,1,1,4,4,4.3%,2018,13
27,Randy Bullock (TEN),1,1,100,35,0,0,1,0,0,1,1,1,4,4,1.9%,2018,13
28,Dan Bailey (FA),1,2,50,39,0,0,1,0,0,1,1,1,4,4,0.0%,2018,13
29,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,4.2%,2018,13
30,Stephen Hauschka (FA),1,2,50,32,0,0,1,0,0,0,1,1,3,3,0.0%,2018,13
31,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,1,1,1,1,1,16.1%,2018,13
32,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2018,13
33,Michael Palardy (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3%,2018,13
