Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Wil Lutz (NO),3,3,100,42,0,1,0,2,0,6,6,1,17,17,4.3%,2018,10
2,Jason Sanders (MIA),4,4,100,47,0,1,1,2,0,0,0,1,14,14,4.2%,2018,10
3,Robbie Gould (SF),3,3,100,53,0,0,2,0,1,2,2,1,13,13,21.5%,2018,10
4,Stephen Hauschka (FA),2,2,100,54,0,0,1,0,1,5,5,1,13,13,0.0%,2018,10
5,Greg Zuerlein (NYJ),3,3,100,37,0,1,2,0,0,3,3,1,12,12,7.5%,2018,10
6,Dustin Hopkins (LAC),3,3,100,43,0,1,0,2,0,1,1,1,12,12,14.5%,2018,10
7,Chris Boswell (PIT),1,1,100,50,0,0,0,0,1,7,7,1,12,12,9.2%,2018,10
8,Jake Elliott (PHI),2,2,100,56,0,1,0,0,1,2,2,1,10,10,20.2%,2018,10
9,Josh Lambo (FA),2,3,66.7,55,0,1,0,0,1,2,3,1,10,10,0.0%,2018,10
10,Harrison Butker (KC),2,2,100,46,0,0,0,2,0,2,2,1,10,10,94.7%,2018,10
11,Ryan Succop (TB),2,2,100,33,0,0,2,0,0,4,4,1,10,10,27.5%,2018,10
12,Michael Badgley (FA),2,2,100,41,0,1,0,1,0,2,2,1,9,9,15.6%,2018,10
13,Brett Maher (FA),2,3,66.7,31,0,1,1,0,0,3,3,1,9,9,2.0%,2018,10
14,Aldrick Rosas (FA),2,2,100,31,0,1,1,0,0,3,3,1,9,9,0.0%,2018,10
15,Daniel Carlson (LV),2,2,100,46,0,0,1,1,0,0,0,1,7,7,93.3%,2018,10
16,Mason Crosby (GB),1,1,100,38,0,0,1,0,0,4,4,1,7,7,4.8%,2018,10
17,Sebastian Janikowski (FA),1,1,100,33,0,0,1,0,0,4,4,1,7,7,20.0%,2018,10
18,Matt Prater (ARI),1,1,100,52,0,0,0,0,1,1,1,1,6,6,72.8%,2018,10
19,Stephen Gostkowski (FA),1,2,50,52,0,0,0,0,1,1,1,1,6,6,0.1%,2018,10
20,Jason Myers (SEA),1,1,100,55,0,0,0,0,1,1,1,1,6,6,1.9%,2018,10
21,Giorgio Tavecchio (FA),1,1,100,40,0,0,0,1,0,1,1,1,5,5,1.0%,2018,10
22,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,4,4,1,4,4,16.1%,2018,10
23,Graham Gano (NYG),0,0,0,0,0,0,0,0,0,3,3,1,3,3,28.6%,2018,10
24,Adam Vinatieri (FA),0,1,0,0,0,0,0,0,0,3,3,1,3,3,0.2%,2018,10
25,Chandler Catanzaro (FA),1,3,33.3,33,0,0,1,0,0,0,0,1,3,3,0.0%,2018,10
26,Cody Parkey (FA),0,2,0,0,0,0,0,0,0,2,4,1,2,2,0.1%,2018,10
27,Randy Bullock (TEN),0,0,0,0,0,0,0,0,0,2,2,1,2,2,1.9%,2018,10
28,Phil Dawson (FA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2018,10
29,Michael Palardy (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3%,2018,10
