Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Dustin Hopkins (LAC),3,3,100,50,0,0,0,2,1,1,1,1,14,14,14.5%,2018,16
2,Harrison Butker (KC),3,3,100,54,0,1,1,0,1,2,2,1,13,13,94.7%,2018,16
3,Mason Crosby (GB),3,3,100,42,0,1,1,1,0,3,3,1,13,13,4.8%,2018,16
4,Justin Tucker (BAL),3,5,60,56,0,1,1,0,1,1,1,1,12,12,99.3%,2018,16
5,Matt Prater (ARI),3,3,100,48,0,0,1,2,0,0,0,1,11,11,72.8%,2018,16
6,Brett Maher (FA),2,2,100,59,0,1,0,0,1,3,3,1,11,11,2.0%,2018,16
7,Daniel Carlson (LV),2,2,100,45,0,0,0,2,0,3,3,1,11,11,93.3%,2018,16
8,Aldrick Rosas (FA),2,2,100,40,0,1,0,1,0,3,3,1,10,10,0.0%,2018,16
9,Robbie Gould (SF),3,3,100,33,0,1,2,0,0,0,0,1,9,9,21.5%,2018,16
10,Dan Bailey (FA),2,2,100,29,0,2,0,0,0,3,3,1,9,9,0.0%,2018,16
11,Jake Elliott (PHI),2,2,100,47,0,0,1,1,0,2,3,1,9,9,20.2%,2018,16
12,Chris Boswell (PIT),2,2,100,49,0,0,1,1,0,2,2,1,9,9,9.2%,2018,16
13,Cairo Santos (CHI),2,3,66.7,45,0,0,1,1,0,2,2,1,9,9,1.3%,2018,16
14,Ryan Succop (TB),2,2,100,42,0,0,1,1,0,1,2,1,8,8,27.5%,2018,16
15,Greg Joseph (MIN),2,2,100,37,0,0,2,0,0,2,3,1,8,8,16.1%,2018,16
16,Sebastian Janikowski (FA),1,2,50,28,0,1,0,0,0,5,5,1,8,8,20.0%,2018,16
17,Jason Myers (SEA),1,2,50,33,0,0,1,0,0,5,5,1,8,8,1.9%,2018,16
18,Wil Lutz (NO),1,2,50,43,0,0,0,1,0,4,4,1,8,8,4.3%,2018,16
19,Stephen Hauschka (FA),2,3,66.7,41,0,0,1,1,0,0,0,1,7,7,0.0%,2018,16
20,Greg Zuerlein (NYJ),1,2,50,21,0,1,0,0,0,4,4,1,7,7,7.5%,2018,16
21,Randy Bullock (TEN),1,1,100,51,0,0,0,0,1,1,1,1,6,6,1.9%,2018,16
22,Chandler Catanzaro (FA),1,1,100,50,0,0,0,0,1,1,1,1,6,6,0.0%,2018,16
23,Stephen Gostkowski (FA),1,1,100,24,0,1,0,0,0,3,3,1,6,6,0.1%,2018,16
24,Ka'imi Fairbairn (HOU),1,1,100,30,0,0,1,0,0,3,4,1,6,6,0.6%,2018,16
25,Matt Bryant (FA),1,1,100,39,0,0,1,0,0,3,3,1,6,6,1.1%,2018,16
26,Kai Forbath (LAR),1,2,50,26,0,1,0,0,0,2,2,1,5,5,3.0%,2018,16
27,Adam Vinatieri (FA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,0.2%,2018,16
28,Michael Badgley (FA),1,1,100,38,0,0,1,0,0,1,1,1,4,4,15.6%,2018,16
29,Zane Gonzalez (CAR),1,2,50,36,0,0,1,0,0,0,1,1,3,3,0.7%,2018,16
30,Brandon McManus (DEN),0,1,0,0,0,0,0,0,0,2,2,1,2,2,59.4%,2018,16
31,Cody Parkey (FA),0,1,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2018,16
32,Jason Sanders (MIA),0,1,0,0,0,0,0,0,0,1,1,1,1,1,4.2%,2018,16
33,Michael Palardy (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3%,2018,16
