Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
1,Michael Badgley (FA),4,4,100,59,0,0,2,1,1,2,2,1,17,17,15.6%,2018,14
2,Mason Crosby (GB),2,2,100,50,0,0,0,1,1,4,4,1,13,13,4.8%,2018,14
3,Brett Maher (FA),3,4,75,62,0,2,0,0,1,2,2,1,13,13,2.0%,2018,14
4,Stephen Hauschka (FA),3,5,60,36,0,1,2,0,0,2,2,1,11,11,0.0%,2018,14
5,Randy Bullock (TEN),3,3,100,47,0,1,0,2,0,0,0,1,11,11,1.9%,2018,14
6,Greg Joseph (MIN),2,2,100,49,0,0,0,2,0,2,3,1,10,10,16.1%,2018,14
7,Jason Myers (SEA),2,2,100,47,0,1,0,1,0,3,3,1,10,10,1.9%,2018,14
8,Aldrick Rosas (FA),2,2,100,35,0,1,1,0,0,4,5,1,10,10,0.0%,2018,14
9,Stephen Gostkowski (FA),2,3,66.7,32,0,1,1,0,0,3,4,1,9,9,0.1%,2018,14
10,Robbie Gould (SF),2,2,100,40,0,1,0,1,0,2,2,1,9,9,21.5%,2018,14
11,Harrison Butker (KC),2,4,50,35,0,1,1,0,0,3,3,1,9,9,94.7%,2018,14
12,Wil Lutz (NO),2,2,100,36,0,0,2,0,0,2,2,1,8,8,4.3%,2018,14
13,Greg Zuerlein (NYJ),2,3,66.7,50,0,1,0,0,1,0,0,1,8,8,7.5%,2018,14
14,Chandler Catanzaro (FA),2,2,100,34,0,0,2,0,0,2,2,1,8,8,0.0%,2018,14
15,Adam Vinatieri (FA),1,1,100,54,0,0,0,0,1,3,3,1,8,8,0.2%,2018,14
16,Daniel Carlson (LV),1,1,100,44,0,0,0,1,0,3,3,1,7,7,93.3%,2018,14
17,Sebastian Janikowski (FA),2,2,100,37,0,0,2,0,0,1,1,1,7,7,20.0%,2018,14
18,Cody Parkey (FA),2,3,66.7,39,0,0,2,0,0,1,1,1,7,7,0.1%,2018,14
19,Ryan Succop (TB),1,1,100,33,0,0,1,0,0,3,4,1,6,6,27.5%,2018,14
20,Justin Tucker (BAL),1,1,100,28,0,1,0,0,0,3,3,1,6,6,99.3%,2018,14
21,Matt Prater (ARI),1,1,100,47,0,0,0,1,0,2,2,1,6,6,72.8%,2018,14
22,Jake Elliott (PHI),1,1,100,26,0,1,0,0,0,2,3,1,5,5,20.2%,2018,14
23,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,4,4,1,4,4,4.2%,2018,14
24,Chris Boswell (PIT),0,2,0,0,0,0,0,0,0,3,3,1,3,3,9.2%,2018,14
25,Zane Gonzalez (CAR),1,2,50,22,0,1,0,0,0,0,0,1,3,3,0.7%,2018,14
26,Ka'imi Fairbairn (HOU),0,0,0,0,0,0,0,0,0,3,3,1,3,3,0.6%,2018,14
27,Matt Bryant (FA),0,1,0,0,0,0,0,0,0,2,3,1,2,2,1.1%,2018,14
28,Brandon McManus (DEN),0,0,0,0,0,0,0,0,0,2,2,1,2,2,59.4%,2018,14
29,Cairo Santos (CHI),0,2,0,0,0,0,0,0,0,2,2,1,2,2,1.3%,2018,14
30,Dan Bailey (FA),0,1,0,0,0,0,0,0,0,1,1,1,1,1,0.0%,2018,14
31,Josh Lambo (FA),0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0%,2018,14
32,Michael Palardy (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.3%,2018,14
33,Dustin Hopkins (LAC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.5%,2018,14
