Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
36,Tevin Coleman (SF),137,544,4,48,7,6,21,30,180,8.6,1,0,14,124.9,8.9,0.2%,2019
77,Tevin Coleman (SF),84,356,4.2,20,1,0,11,16,49,4.5,0,0,11,46,4.2,0.2%,2021
94,Tevin Coleman (SF),12,26,2.2,14,0,1,3,3,44,14.7,1,0,3,20.5,6.8,0.2%,2022
123,Tevin Coleman (SF),28,53,1.9,12,0,0,4,5,34,8.5,0,0,8,10.7,1.3,0.2%,2020
129,Theo Riddick (FA),6,14,2.3,11,0,0,5,6,43,8.6,0,0,5,8.2,1.6,0.0%,2020
14,Todd Gurley II (FA),223,857,3.8,25,5,12,31,49,207,6.7,2,2,15,203.9,13.6,0.1%,2019
25,Todd Gurley II (FA),195,678,3.5,35,3,9,25,35,164,6.6,0,0,15,150.7,10,0.1%,2020
148,Tony Brooks-James (FA),8,7,0.9,8,0,0,0,0,0,0,0,0,3,0.7,0.2,0.0%,2019
158,Tony Brooks-James (FA),3,4,1.3,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2020
105,Tony Jones Jr. (SEA),54,142,2.6,11,0,0,5,8,29,5.8,0,0,10,19.6,2,6.4%,2021
117,Tony Jones Jr. (SEA),10,24,2.4,7,0,0,5,8,30,6,0,0,3,7.9,2.6,6.4%,2022
153,Tony Jones Jr. (SEA),3,13,4.3,6,0,0,0,0,0,0,0,0,1,1.3,1.3,6.4%,2020
7,Tony Pollard (DAL),186,988,5.3,57,18,9,39,54,371,9.5,3,0,15,227.4,15.2,94.9%,2022
28,Tony Pollard (DAL),130,719,5.5,58,8,2,39,46,337,8.6,0,0,15,143.1,9.5,94.9%,2021
41,Tony Pollard (DAL),101,435,4.3,42,8,4,28,40,193,6.9,1,0,16,106.8,6.7,94.9%,2020
52,Tony Pollard (DAL),86,455,5.3,44,7,2,15,20,107,7.1,1,1,15,81.7,5.4,94.9%,2019
177,Tory Carter (FA),0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0.0%,2021
115,Tra Carson (FA),18,48,2.7,12,0,0,4,4,18,4.5,0,0,4,8.6,2.2,0.0%,2019
165,Travaris Cadet (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
16,Travis Etienne Jr. (JAC),213,"1,108",5.2,62,18,5,33,43,299,9.1,0,3,16,183.2,11.5,98.8%,2022
70,Travis Homer (SEA),21,177,8.4,73,5,1,16,20,161,10.1,0,0,14,53.8,3.8,15.5%,2021
77,Travis Homer (SEA),19,74,3.9,16,0,0,16,18,157,9.8,1,1,12,35.1,2.9,15.5%,2022
90,Travis Homer (SEA),25,88,3.5,12,0,0,9,10,90,10,1,0,9,28.3,3.1,15.5%,2020
95,Travis Homer (SEA),18,114,6.3,29,1,0,11,13,56,5.1,0,0,16,22.5,1.4,15.5%,2019
103,Trayveon Williams (CIN),26,157,6,55,4,0,5,5,30,6,0,1,10,19.2,1.9,0.1%,2020
123,Trayveon Williams (CIN),6,30,5,16,0,0,2,3,30,15,0,0,8,7,0.9,0.1%,2022
134,Trayveon Williams (CIN),15,51,3.4,10,0,0,1,2,4,4,0,0,4,6,1.5,0.1%,2021
158,Trayveon Williams (CIN),0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.1%,2019
174,Tre Madden (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019
135,Trenton Cannon (TEN),10,33,3.3,13,0,0,3,3,16,5.3,0,0,14,6.4,0.5,0.0%,2020
179,Trenton Cannon (TEN),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2019
217,Trenton Cannon (TEN),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2022
196,Trenton Cannon (TEN),3,4,1.3,3,0,0,0,0,0,0,0,1,10,-1.6,-0.2,0.0%,2021
129,Trestan Ebner (CHI),24,54,2.3,11,0,0,2,6,8,4,0,1,10,5.2,0.5,0.5%,2022
98,Trey Edmunds (FA),22,92,4.2,45,3,0,6,7,48,8,0,0,12,17,1.4,0.0%,2019
182,Trey Edmunds (FA),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2020
191,Trey Edmunds (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
150,Trey Ragas (FA),1,9,9,9,0,0,2,2,6,3,0,0,1,2.5,2.5,0.0%,2021
95,Trey Sermon (PHI),41,167,4.1,16,0,1,3,4,26,8.7,0,0,6,26.8,4.5,0.1%,2021
143,Trey Sermon (PHI),2,19,9.5,14,0,0,0,0,0,0,0,0,1,1.9,1.9,0.1%,2022
190,Troy Hairston II (HOU),0,0,0,0,0,0,5,7,19,3.8,0,0,11,0,0,1.0%,2022
109,Troymaine Pope (FA),15,76,5.1,26,1,0,8,10,42,5.3,0,0,6,15.8,2.6,0.0%,2020
116,Troymaine Pope (FA),10,20,2,8,0,0,2,3,14,7,1,1,14,8.4,0.6,0.0%,2019
87,Ty'Son Williams (ARI),35,185,5.3,35,3,1,9,12,84,9.3,0,0,8,37.4,4.7,0.0%,2021
159,Ty Chandler (MIN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2022
47,Ty Johnson (NYJ),61,238,3.9,24,2,2,34,55,372,10.9,2,1,15,100,6.7,2.7%,2021
69,Ty Johnson (NYJ),54,254,4.7,34,2,1,16,21,99,6.2,1,0,13,55.3,4.3,2.7%,2020
71,Ty Johnson (NYJ),63,273,4.3,40,3,0,24,31,109,4.5,0,1,16,48.2,3,2.7%,2019
80,Ty Johnson (NYJ),25,148,5.9,32,3,1,10,21,75,7.5,0,0,11,33.3,3,2.7%,2022
92,Ty Montgomery (NE),32,103,3.2,15,0,0,13,17,90,6.9,0,0,16,25.8,1.6,0.5%,2019
102,Ty Montgomery (NE),15,44,2.9,9,0,0,16,26,95,5.9,0,0,14,21.9,1.6,0.5%,2021
115,Ty Montgomery (NE),19,101,5.3,36,2,0,3,6,27,9,0,0,6,14.3,2.4,0.5%,2020
116,Ty Montgomery (NE),2,-2,-1,0,0,0,3,4,15,5,1,0,1,8.8,8.8,0.5%,2022
30,Tyler Allgeier (ATL),186,900,4.8,44,11,3,16,17,139,8.7,1,0,15,137.9,9.2,68.0%,2022
100,Tyler Ervin (FA),13,67,5.2,21,1,0,11,15,84,7.6,0,0,8,20.6,2.6,0.0%,2020
130,Tyler Ervin (FA),1,10,10,10,0,0,2,4,11,5.5,0,0,10,3.1,0.3,0.0%,2019
120,Tyrion Davis-Price (SF),26,72,2.8,20,1,0,0,2,0,0,0,0,4,7.2,1.8,0.9%,2022
32,Wayne Gallman Jr. (SEA),147,682,4.6,60,6,6,21,27,114,5.4,0,0,15,126.1,8.4,0.0%,2020
78,Wayne Gallman Jr. (SEA),29,110,3.8,22,1,2,11,16,102,9.3,1,1,10,42.7,4.3,0.0%,2019
119,Wayne Gallman Jr. (SEA),28,104,3.7,17,0,0,1,3,21,21,0,0,9,13,1.4,0.0%,2021
97,Wendell Smallwood (FA),22,81,3.7,17,0,0,9,13,64,7.1,0,0,15,19,1.3,0.0%,2019
131,Wendell Smallwood (FA),5,25,5,13,0,0,4,5,22,5.5,0,0,2,6.7,3.4,0.0%,2021
180,Wendell Smallwood (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
99,Wes Hills (FA),10,21,2.1,15,0,2,2,2,1,0.5,0,0,1,15.2,15.2,0.0%,2019
161,Xavier Jones (FA),0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.0%,2020
114,Zach Line (FA),7,20,2.9,5,0,0,6,10,36,6,0,0,12,8.6,0.7,0.0%,2019
132,Zach Zenner (FA),3,-2,-0.7,1,0,0,2,3,19,9.5,0,0,6,2.7,0.5,0.0%,2019
45,Zack Moss (IND),112,481,4.3,31,5,4,14,18,95,6.8,1,0,13,94.6,7.3,46.2%,2020
52,Zack Moss (IND),96,345,3.6,17,0,4,23,32,197,8.6,1,1,13,93.7,7.2,46.2%,2021
74,Zack Moss (IND),75,342,4.6,43,3,0,8,10,32,4,0,1,12,39.4,3.3,46.2%,2022
126,Zamir White (LV),16,66,4.1,22,1,0,0,0,0,0,0,0,10,6.6,0.7,2.5%,2022
104,Zander Horvath (LAC),4,8,2,3,0,0,5,8,8,1.6,2,0,8,16.1,2,0.0%,2022
65,Zonovan Knight (NYJ),73,278,3.8,48,3,1,13,14,100,7.7,0,0,6,50.3,8.4,64.7%,2022
