Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Kansas City Chiefs (KC),3,2,2,2,1,0,1,1,24,24,46.4%,2020,7
2,Washington Commanders (WAS),6,1,0,2,0,1,0,1,17,17,51.3%,2020,7
3,San Francisco 49ers (SF),2,4,0,1,0,0,0,1,17,17,96.0%,2020,7
4,Los Angeles Rams (LAR),4,2,0,0,0,0,0,1,15,15,34.8%,2020,7
5,Buffalo Bills (BUF),6,2,0,1,0,0,0,1,14,14,96.0%,2020,7
6,Chicago Bears (CHI),1,0,1,2,1,0,0,1,11,11,2.2%,2020,7
7,Philadelphia Eagles (PHI),3,1,2,2,0,0,0,1,9,9,57.2%,2020,7
8,Los Angeles Chargers (LAC),5,0,1,0,0,0,0,1,7,7,42.7%,2020,7
9,Arizona Cardinals (ARI),2,3,0,0,0,0,0,1,7,7,9.3%,2020,7
10,Cleveland Browns (CLE),4,1,1,1,0,0,0,1,7,7,42.7%,2020,7
11,Green Bay Packers (GB),3,0,1,2,0,0,0,1,6,6,67.2%,2020,7
12,Tennessee Titans (TEN),0,3,0,2,0,0,0,1,6,6,26.8%,2020,7
13,Tampa Bay Buccaneers (TB),3,1,0,1,0,0,0,1,6,6,84.2%,2020,7
14,New England Patriots (NE),1,2,0,0,0,0,0,1,6,6,52.5%,2020,7
15,New York Giants (NYG),3,1,0,0,0,0,0,1,5,5,24.7%,2020,7
16,Jacksonville Jaguars (JAC),1,0,0,0,0,0,1,1,5,5,22.8%,2020,7
17,New York Jets (NYJ),2,0,1,1,0,0,0,1,5,5,19.1%,2020,7
18,Detroit Lions (DET),2,0,1,2,0,0,0,1,4,4,4.0%,2020,7
19,Carolina Panthers (CAR),1,0,1,1,0,0,0,1,3,3,7.6%,2020,7
20,Pittsburgh Steelers (PIT),2,0,0,0,0,0,0,1,2,2,50.2%,2020,7
21,Denver Broncos (DEN),4,0,1,1,0,0,0,1,2,2,32.3%,2020,7
22,Dallas Cowboys (DAL),2,0,0,0,0,0,0,1,2,2,90.0%,2020,7
23,Atlanta Falcons (ATL),2,0,0,0,0,0,0,1,2,2,2.7%,2020,7
24,New Orleans Saints (NO),1,0,0,0,0,0,0,1,1,1,62.8%,2020,7
25,Seattle Seahawks (SEA),0,1,1,2,0,0,0,1,0,0,15.0%,2020,7
26,Cincinnati Bengals (CIN),0,1,0,0,0,0,0,1,-2,-2,33.1%,2020,7
27,Houston Texans (HOU),0,0,0,0,0,0,0,1,-2,-2,0.8%,2020,7
28,Las Vegas Raiders (LV),0,0,0,1,0,0,0,1,-4,-4,11.2%,2020,7
