Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Las Vegas Raiders (LV),2,4,1,2,0,0,0,1,16,16,11.2%,2020,10
2,New Orleans Saints (NO),2,2,2,0,0,0,0,1,14,14,62.8%,2020,10
3,Los Angeles Rams (LAR),6,2,1,0,0,0,0,1,13,13,34.8%,2020,10
4,Chicago Bears (CHI),1,1,1,2,0,0,1,1,12,12,2.2%,2020,10
5,Pittsburgh Steelers (PIT),4,0,2,1,0,0,0,1,12,12,50.2%,2020,10
6,Jacksonville Jaguars (JAC),1,1,1,2,0,0,1,1,11,11,22.8%,2020,10
7,Minnesota Vikings (MIN),2,1,1,0,0,0,0,1,10,10,19.7%,2020,10
8,Indianapolis Colts (IND),1,0,0,0,0,0,1,1,10,10,52.9%,2020,10
9,San Francisco 49ers (SF),3,0,2,1,0,0,0,1,7,7,96.0%,2020,10
10,Green Bay Packers (GB),3,1,0,0,0,0,0,1,6,6,67.2%,2020,10
11,Miami Dolphins (MIA),2,1,0,0,0,0,0,1,6,6,24.9%,2020,10
12,Cleveland Browns (CLE),2,0,0,0,0,0,0,1,6,6,42.7%,2020,10
13,Buffalo Bills (BUF),3,1,1,1,0,0,0,1,6,6,96.0%,2020,10
14,Houston Texans (HOU),1,0,0,0,0,0,0,1,5,5,0.8%,2020,10
15,Seattle Seahawks (SEA),3,0,1,1,0,0,0,1,5,5,15.0%,2020,10
16,Tampa Bay Buccaneers (TB),3,1,0,0,0,0,0,1,5,5,84.2%,2020,10
17,New England Patriots (NE),2,1,0,0,0,0,0,1,5,5,52.5%,2020,10
18,New York Giants (NYG),3,0,0,0,0,0,0,1,4,4,24.7%,2020,10
19,Detroit Lions (DET),2,0,1,2,0,0,0,1,4,4,4.0%,2020,10
20,Philadelphia Eagles (PHI),3,0,0,0,0,0,0,1,3,3,57.2%,2020,10
21,Arizona Cardinals (ARI),0,2,0,0,0,0,0,1,3,3,9.3%,2020,10
22,Los Angeles Chargers (LAC),0,0,1,0,0,0,0,1,1,1,42.7%,2020,10
23,Carolina Panthers (CAR),1,0,1,1,0,0,0,1,1,1,7.6%,2020,10
24,Baltimore Ravens (BAL),1,0,0,0,0,0,0,1,1,1,90.6%,2020,10
25,Tennessee Titans (TEN),1,0,0,0,0,0,0,1,0,0,26.8%,2020,10
26,Washington Commanders (WAS),1,0,0,0,0,0,0,1,0,0,51.3%,2020,10
27,Denver Broncos (DEN),0,0,0,0,0,0,0,1,-4,-4,32.3%,2020,10
28,Cincinnati Bengals (CIN),0,0,0,0,0,0,0,1,-4,-4,33.1%,2020,10
