Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
46,Gus Edwards (BAL),133,711,5.3,63,9,2,7,7,45,6.4,0,1,16,89.1,5.6,34.8%,2019
47,Frank Gore (FA),166,599,3.6,41,6,2,13,16,100,7.7,0,0,16,88.4,5.5,12.1%,2019
48,Rex Burkhead (HOU),65,302,4.6,33,2,3,27,38,279,10.3,0,1,13,87.6,6.7,9.1%,2019
49,Boston Scott (PHI),61,245,4,25,1,5,24,26,204,8.5,0,1,11,84.9,7.7,1.2%,2019
50,Kareem Hunt (CLE),43,179,4.2,16,0,2,37,44,285,7.7,1,0,9,82.9,9.2,71.2%,2019
51,Jaylen Samuels (FA),66,175,2.7,13,0,1,47,57,305,6.5,1,1,14,81.9,5.9,0.0%,2019
52,Tony Pollard (DAL),86,455,5.3,44,7,2,15,20,107,7.1,1,1,15,81.7,5.4,94.9%,2019
53,Kerryon Johnson (FA),113,403,3.6,20,1,3,10,15,127,12.7,1,1,8,80,10,0.0%,2019
54,Chase Edmonds (DEN),60,303,5.1,37,5,4,12,21,105,8.8,1,0,13,76.8,5.9,24.1%,2019
55,Chris Thompson (FA),37,138,3.7,16,0,0,42,58,378,9,0,0,11,72.6,6.6,0.0%,2019
56,Rashaad Penny (SEA),65,370,5.7,58,8,3,8,11,83,10.4,1,1,10,71.3,7.1,15.8%,2019
57,J.D. McKissic (WAS),38,205,5.4,44,4,0,34,42,233,6.9,1,0,16,66.8,4.2,8.2%,2019
58,Jalen Richard (FA),39,145,3.7,13,0,0,36,43,323,9,0,0,16,64.8,4.1,1.0%,2019
59,Alexander Mattison (MIN),100,462,4.6,35,5,1,10,12,82,8.2,0,1,13,63.4,4.9,25.1%,2019
60,Brian Hill (FA),78,323,4.1,27,2,2,10,14,69,6.9,1,0,12,62.2,5.2,0.0%,2019
61,Darrel Williams (ARI),41,141,3.4,41,3,3,15,20,167,11.1,1,1,12,60.3,5,1.5%,2019
62,Malcolm Brown (LAR),69,255,3.7,17,0,5,2,6,16,8,0,0,14,58.1,4.2,0.1%,2019
63,Dare Ogunbowale (HOU),11,17,1.5,12,0,2,35,46,286,8.2,0,1,16,57.8,3.6,2.7%,2019
64,Patrick Laird (TB),62,168,2.7,18,0,1,23,30,204,8.9,0,0,15,56.7,3.8,0.0%,2019
65,Benny Snell Jr. (PIT),108,426,3.9,23,3,2,3,4,23,7.7,0,1,13,56.4,4.3,1.3%,2019
66,Derrius Guice (FA),42,245,5.8,60,7,2,7,9,79,11.3,1,0,5,53.9,10.8,1.1%,2019
67,Dion Lewis (FA),54,210,3.9,17,0,0,25,32,164,6.6,1,1,16,53.9,3.4,2.0%,2019
68,Giovani Bernard (TB),53,170,3.2,25,1,0,30,43,234,7.8,0,1,16,53.4,3.3,0.2%,2019
69,Jordan Wilkins (FA),51,307,6,55,6,2,7,11,43,6.1,0,0,14,50.5,3.6,0.1%,2019
70,Mike Boone (DEN),49,273,5.6,59,8,3,3,4,17,5.7,0,0,16,48.5,3,4.0%,2019
71,Ty Johnson (NYJ),63,273,4.3,40,3,0,24,31,109,4.5,0,1,16,48.2,3,2.7%,2019
72,Brandon Bolden (LV),15,68,4.5,21,1,3,9,11,111,12.3,1,0,15,46.4,3.1,0.2%,2019
73,Justice Hill (BAL),58,225,3.9,18,0,2,8,15,70,8.8,0,0,16,45.5,2.8,0.8%,2019
74,Jeff Wilson Jr. (MIA),27,105,3.9,25,1,4,3,5,34,11.3,1,0,11,45.4,4.1,70.1%,2019
75,Kalen Ballage (FA),74,135,1.8,8,0,3,14,24,63,4.5,0,0,12,44.8,3.7,0.0%,2019
76,Ryquell Armstead (FA),35,108,3.1,16,0,0,14,24,144,10.3,2,0,16,44.2,2.8,0.0%,2019
77,Bo Scarbrough (FA),89,377,4.2,30,3,1,1,4,5,5,0,1,6,42.7,7.1,0.0%,2019
78,Wayne Gallman Jr. (SEA),29,110,3.8,22,1,2,11,16,102,9.3,1,1,10,42.7,4.3,0.0%,2019
79,Kyle Juszczyk (SF),3,7,2.3,6,0,0,20,24,239,12,1,0,12,40.6,3.4,0.4%,2019
80,Jonathan Williams (WAS),49,235,4.8,48,3,1,5,5,59,11.8,0,0,9,37.9,4.2,5.0%,2019
81,Mark Walton (FA),53,201,3.8,19,0,0,15,21,89,5.9,0,1,7,34.5,4.9,2.0%,2019
82,Dontrell Hilliard (TEN),13,49,3.8,11,0,2,12,15,92,7.7,0,0,14,32.1,2.3,6.3%,2019
83,Ameer Abdullah (LV),23,115,5,15,0,0,15,21,88,5.9,1,1,16,31.8,2,2.7%,2019
84,Ito Smith (FA),22,106,4.8,28,1,1,11,14,87,7.9,0,0,7,30.8,4.4,0.0%,2019
85,Qadree Ollison (DAL),22,50,2.3,6,0,4,1,2,7,7,0,0,8,30.2,3.8,0.0%,2019
86,Bilal Powell (FA),59,229,3.9,17,0,0,7,12,33,4.7,0,0,14,29.7,2.1,0.0%,2019
87,C.J. Ham (MIN),7,17,2.4,9,0,0,17,26,149,8.8,1,1,16,29.1,1.8,0.1%,2019
88,Myles Gaskin (MIA),36,133,3.7,27,1,1,7,12,51,7.3,0,0,7,27.9,4,0.3%,2019
89,Darwin Thompson (SEA),37,128,3.5,12,0,1,9,10,43,4.8,0,0,12,27.6,2.3,0.0%,2019
90,Justin Jackson (DET),29,200,6.9,40,5,0,9,11,22,2.4,0,0,7,26.7,3.8,1.1%,2019
91,Reggie Bonnafon (WAS),16,116,7.3,59,4,1,6,10,57,9.5,0,0,16,26.3,1.6,0.0%,2019
92,Ty Montgomery (NE),32,103,3.2,15,0,0,13,17,90,6.9,0,0,16,25.8,1.6,0.5%,2019
93,C.J. Prosise (FA),23,72,3.1,17,0,1,10,12,76,7.6,0,1,9,23.8,2.6,0.0%,2019
94,T.J. Yeldon (FA),17,63,3.7,12,0,0,13,15,124,9.5,0,1,6,23.2,3.9,0.0%,2019
95,Travis Homer (SEA),18,114,6.3,29,1,0,11,13,56,5.1,0,0,16,22.5,1.4,15.5%,2019
96,Darrell Henderson Jr. (FA),39,147,3.8,22,1,0,4,6,37,9.3,0,0,13,20.4,1.6,22.3%,2019
97,Wendell Smallwood (FA),22,81,3.7,17,0,0,9,13,64,7.1,0,0,15,19,1.3,0.0%,2019
98,Trey Edmunds (FA),22,92,4.2,45,3,0,6,7,48,8,0,0,12,17,1.4,0.0%,2019
99,Wes Hills (FA),10,21,2.1,15,0,2,2,2,1,0.5,0,0,1,15.2,15.2,0.0%,2019
100,Alec Ingold (MIA),10,17,1.7,4,0,0,6,6,44,7.3,1,0,16,15.1,0.9,0.1%,2019
101,Patrick Ricard (BAL),0,0,0,0,0,0,8,11,47,5.9,1,0,16,14.7,0.9,0.1%,2019
102,Darren Sproles (FA),17,66,3.9,17,0,0,6,10,24,4,0,0,6,14,2.3,0.1%,2019
103,Kerrith Whyte Jr. (FA),24,122,5.1,21,1,0,1,1,9,9,0,0,6,13.6,2.3,0.0%,2019
104,Danny Vitale (FA),1,3,3,3,0,0,7,12,97,13.9,0,0,15,13.5,0.9,0.0%,2019
105,Andy Janovich (FA),1,1,1,1,0,1,5,5,42,8.4,0,0,8,12.8,1.6,0.0%,2019
106,D'Ernest Johnson (CLE),4,21,5.3,13,0,0,6,7,71,11.8,0,0,16,12.2,0.8,0.7%,2019
107,Kenjon Barner (FA),4,28,7,12,0,0,6,8,22,3.7,0,1,14,12.1,0.9,0.0%,2019
108,Derek Watt (PIT),7,10,1.4,3,0,1,3,5,32,10.7,0,0,16,11.7,0.7,0.1%,2019
109,Javorius Allen (FA),10,36,3.6,19,0,1,1,2,9,9,0,0,11,11,1,0.1%,2019
110,Spencer Ware (FA),17,51,3,6,0,0,5,7,22,4.4,0,0,3,9.8,3.3,0.0%,2019
111,Devontae Booker (FA),2,9,4.5,5,0,0,6,9,57,9.5,0,0,16,9.6,0.6,0.0%,2019
112,Marshawn Lynch (FA),12,34,2.8,15,0,1,0,0,0,0,0,0,2,9.4,4.7,0.3%,2019
113,Alex Armah Jr. (WAS),6,11,1.8,4,0,1,2,2,6,3,0,0,16,8.7,0.5,0.0%,2019
