Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
110,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,2
107,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
107,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,8
100,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,9
89,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,10
103,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,11
100,Alex Armah Jr. (WAS),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,12
113,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
114,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,15
110,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,16
111,Alex Armah Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,17
126,Alex Collins (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0%,2019,1
21,Alexander Mattison (MIN),12,58,4.8,21,1,1,0,0,0,0,0,0,1,11.8,11.8,25.1%,2019,3
30,Alexander Mattison (MIN),4,22,5.5,15,0,0,4,5,51,12.8,0,0,1,9.3,9.3,25.1%,2019,13
33,Alexander Mattison (MIN),13,61,4.7,28,1,0,2,2,3,1.5,0,0,1,7.4,7.4,25.1%,2019,8
40,Alexander Mattison (MIN),14,46,3.3,9,0,0,2,2,18,9,0,0,1,7.4,7.4,25.1%,2019,14
34,Alexander Mattison (MIN),8,52,6.5,16,0,0,1,1,2,2,0,0,1,5.9,5.9,25.1%,2019,10
45,Alexander Mattison (MIN),7,52,7.4,19,0,0,0,0,0,0,0,0,1,5.2,5.2,25.1%,2019,5
48,Alexander Mattison (MIN),9,49,5.4,23,1,0,0,0,0,0,0,0,1,4.9,4.9,25.1%,2019,1
42,Alexander Mattison (MIN),14,63,4.5,35,2,0,0,0,0,0,0,1,1,4.3,4.3,25.1%,2019,6
60,Alexander Mattison (MIN),4,25,6.3,14,0,0,0,0,0,0,0,0,1,2.5,2.5,25.1%,2019,2
66,Alexander Mattison (MIN),2,5,2.5,3,0,0,1,1,8,8,0,0,1,1.8,1.8,25.1%,2019,4
57,Alexander Mattison (MIN),7,18,2.6,9,0,0,0,0,0,0,0,0,1,1.8,1.8,25.1%,2019,7
68,Alexander Mattison (MIN),3,6,2,3,0,0,0,1,0,0,0,0,1,0.6,0.6,25.1%,2019,9
76,Alexander Mattison (MIN),3,5,1.7,6,0,0,0,0,0,0,0,0,1,0.5,0.5,25.1%,2019,11
69,Alfred Morris (FA),1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2019,9
2,Alvin Kamara (NO),16,69,4.3,16,0,1,9,10,92,10.2,1,0,1,32.6,32.6,99.3%,2019,3
5,Alvin Kamara (NO),11,80,7.3,40,3,2,6,7,30,5,0,0,1,26,26,99.3%,2019,16
10,Alvin Kamara (NO),13,97,7.5,28,2,0,7,8,72,10.3,0,0,1,20.4,20.4,99.3%,2019,1
12,Alvin Kamara (NO),8,39,4.9,15,0,2,2,3,18,9,0,0,1,18.7,18.7,99.3%,2019,17
5,Alvin Kamara (NO),13,75,5.8,14,0,0,10,10,47,4.7,0,0,1,17.2,17.2,99.3%,2019,11
8,Alvin Kamara (NO),11,54,4.9,30,2,0,9,9,48,5.3,0,0,1,14.7,14.7,99.3%,2019,12
19,Alvin Kamara (NO),16,62,3.9,16,0,0,6,7,42,7,0,0,1,13.9,13.9,99.3%,2019,5
16,Alvin Kamara (NO),4,24,6,8,0,0,8,10,50,6.3,0,0,1,11.4,11.4,99.3%,2019,10
23,Alvin Kamara (NO),14,66,4.7,15,0,0,5,5,23,4.6,0,0,1,11.4,11.4,99.3%,2019,15
25,Alvin Kamara (NO),17,69,4.1,13,0,0,3,3,20,6.7,0,0,1,10.4,10.4,99.3%,2019,4
27,Alvin Kamara (NO),11,61,5.5,24,1,0,4,8,23,5.8,0,0,1,10.4,10.4,99.3%,2019,13
24,Alvin Kamara (NO),11,31,2.8,7,0,0,7,8,35,5,0,0,1,10.1,10.1,99.3%,2019,6
41,Alvin Kamara (NO),13,45,3.5,12,0,0,1,3,15,15,0,0,1,6.5,6.5,99.3%,2019,2
55,Alvin Kamara (NO),13,25,1.9,17,0,0,4,6,18,4.5,0,1,1,4.3,4.3,99.3%,2019,14
31,Ameer Abdullah (LV),4,27,6.8,14,0,0,6,7,31,5.2,0,0,1,8.8,8.8,2.7%,2019,16
34,Ameer Abdullah (LV),1,2,2,2,0,0,1,1,16,16,1,0,1,8.3,8.3,2.7%,2019,9
51,Ameer Abdullah (LV),6,22,3.7,11,0,0,3,4,14,4.7,0,0,1,5.1,5.1,2.7%,2019,17
62,Ameer Abdullah (LV),5,25,5,11,0,0,0,2,0,0,0,0,1,2.5,2.5,2.7%,2019,15
62,Ameer Abdullah (LV),0,0,0,0,0,0,2,3,14,7,0,0,1,2.4,2.4,2.7%,2019,4
60,Ameer Abdullah (LV),3,24,8,15,0,0,0,0,0,0,0,0,1,2.4,2.4,2.7%,2019,5
72,Ameer Abdullah (LV),2,8,4,6,0,0,0,0,0,0,0,0,1,0.8,0.8,2.7%,2019,1
78,Ameer Abdullah (LV),0,0,0,0,0,0,1,1,2,2,0,0,1,0.7,0.7,2.7%,2019,14
73,Ameer Abdullah (LV),1,5,5,5,0,0,2,2,11,5.5,0,1,1,0.6,0.6,2.7%,2019,11
79,Ameer Abdullah (LV),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,2.7%,2019,2
112,Ameer Abdullah (LV),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.7%,2019,3
105,Ameer Abdullah (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.7%,2019,6
108,Ameer Abdullah (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.7%,2019,7
115,Ameer Abdullah (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.7%,2019,8
94,Ameer Abdullah (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.7%,2019,10
119,Ameer Abdullah (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.7%,2019,13
94,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
90,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,2
81,Andrew Beck (DEN),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0%,2019,3
82,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
84,Andrew Beck (DEN),0,0,0,0,0,0,1,1,10,10,0,0,1,0,0,0.0%,2019,5
82,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,6
77,Andrew Beck (DEN),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0%,2019,7
85,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,8
77,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,9
84,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,11
83,Andrew Beck (DEN),0,0,0,0,0,0,1,1,18,18,0,0,1,0,0,0.0%,2019,12
88,Andrew Beck (DEN),0,0,0,0,0,0,1,1,11,11,0,0,1,0,0,0.0%,2019,13
93,Andrew Beck (DEN),0,0,0,0,0,0,1,1,29,29,0,0,1,0,0,0.0%,2019,14
87,Andrew Beck (DEN),0,0,0,0,0,0,2,3,13,6.5,0,0,1,0,0,0.0%,2019,15
81,Andrew Beck (DEN),1,3,3,3,0,0,1,1,1,1,0,0,1,0,0,0.0%,2019,16
89,Andrew Beck (DEN),0,0,0,0,0,0,2,2,8,4,1,0,1,0,0,0.0%,2019,17
40,Andy Janovich (FA),1,1,1,1,0,1,1,1,3,3,0,0,1,6.9,6.9,0.0%,2019,11
50,Andy Janovich (FA),0,0,0,0,0,0,1,1,22,22,0,0,1,2.7,2.7,0.0%,2019,7
59,Andy Janovich (FA),0,0,0,0,0,0,2,2,9,4.5,0,0,1,1.9,1.9,0.0%,2019,8
58,Andy Janovich (FA),0,0,0,0,0,0,1,1,8,8,0,0,1,1.3,1.3,0.0%,2019,6
127,Andy Janovich (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
100,Andy Janovich (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
100,Andy Janovich (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,5
96,Andy Janovich (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,9
66,Anthony Sherman (FA),0,0,0,0,0,0,1,1,15,15,0,0,1,2,2,0.0%,2019,1
71,Anthony Sherman (FA),1,0,0,0,0,0,1,1,7,7,0,0,1,1.2,1.2,0.0%,2019,13
70,Anthony Sherman (FA),2,7,3.5,5,0,0,0,0,0,0,0,0,1,0.7,0.7,0.0%,2019,7
78,Anthony Sherman (FA),1,2,2,2,0,0,0,1,0,0,0,0,1,0.2,0.2,0.0%,2019,5
92,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,2
89,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,3
91,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,4
85,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,6
91,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,8
84,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,9
77,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,10
92,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,11
98,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
96,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,15
87,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,16
92,Anthony Sherman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,17
2,Austin Ekeler (LAC),12,58,4.8,19,0,1,6,7,96,16,2,0,1,36.4,36.4,100.0%,2019,1
1,Austin Ekeler (LAC),8,101,12.6,35,4,0,4,5,112,28,1,0,1,29.3,29.3,100.0%,2019,14
4,Austin Ekeler (LAC),18,60,3.3,9,0,1,5,5,62,12.4,1,0,1,26.7,26.7,100.0%,2019,4
