Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Cincinnati Bengals (CIN),3,2,1,1,2,0,0,1,22,22,38.1%,2018,5
2,Kansas City Chiefs (KC),5,4,1,1,1,0,0,1,22,22,28.4%,2018,5
3,Arizona Cardinals (ARI),4,2,3,3,1,0,0,1,21,21,3.3%,2018,5
4,Pittsburgh Steelers (PIT),6,0,1,1,1,0,0,1,16,16,43.7%,2018,5
5,Minnesota Vikings (MIN),3,0,2,1,1,0,0,1,13,13,13.2%,2018,5
6,Buffalo Bills (BUF),2,1,2,3,0,0,0,1,12,12,99.0%,2018,5
7,Carolina Panthers (CAR),1,2,1,0,1,0,0,1,12,12,3.1%,2018,5
8,Baltimore Ravens (BAL),5,1,0,1,0,0,0,1,11,11,84.6%,2018,5
9,Cleveland Browns (CLE),2,1,1,1,0,0,0,1,11,11,33.7%,2018,5
10,Los Angeles Chargers (LAC),3,1,1,1,0,0,0,1,11,11,58.2%,2018,5
11,Detroit Lions (DET),4,0,3,2,0,0,0,1,10,10,1.5%,2018,5
12,New Orleans Saints (NO),3,1,1,1,0,0,0,1,8,8,94.3%,2018,5
13,Tennessee Titans (TEN),1,1,0,0,0,0,0,1,7,7,15.8%,2018,5
14,New York Jets (NYJ),4,1,0,2,0,0,0,1,7,7,1.6%,2018,5
15,Houston Texans (HOU),2,2,0,0,0,0,0,1,7,7,0.8%,2018,5
16,New England Patriots (NE),1,2,1,1,0,0,0,1,7,7,46.5%,2018,5
17,Miami Dolphins (MIA),2,1,0,0,0,0,1,1,6,6,23.4%,2018,5
18,Dallas Cowboys (DAL),1,1,1,1,0,0,0,1,6,6,75.5%,2018,5
19,Jacksonville Jaguars (JAC),1,2,0,0,0,0,0,1,5,5,1.3%,2018,5
20,New York Giants (NYG),1,2,0,1,0,0,0,1,5,5,1.7%,2018,5
21,Philadelphia Eagles (PHI),1,0,1,0,0,0,0,1,4,4,29.7%,2018,5
22,Denver Broncos (DEN),1,1,1,1,0,0,0,1,4,4,50.3%,2018,5
23,Seattle Seahawks (SEA),1,2,0,1,0,0,0,1,4,4,1.5%,2018,5
24,Green Bay Packers (GB),3,0,0,0,0,0,0,1,2,2,84.7%,2018,5
25,Las Vegas Raiders (LV),1,0,0,0,0,0,0,1,1,1,3.2%,2018,5
26,San Francisco 49ers (SF),1,0,0,0,0,0,0,1,1,1,95.5%,2018,5
27,Los Angeles Rams (LAR),2,0,0,0,0,0,0,1,1,1,67.3%,2018,5
28,Indianapolis Colts (IND),0,2,0,0,0,0,0,1,0,0,89.9%,2018,5
29,Washington Commanders (WAS),2,0,1,2,0,0,0,1,0,0,40.8%,2018,5
30,Atlanta Falcons (ATL),0,1,0,1,0,0,0,1,-2,-2,0.7%,2018,5
