Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Chicago Bears (CHI),6,1,1,3,1,0,0,1,17,17,3.2%,2018,2
2,Miami Dolphins (MIA),3,2,1,2,0,0,0,1,13,13,23.4%,2018,2
3,Los Angeles Rams (LAR),1,1,0,0,0,0,0,1,13,13,67.3%,2018,2
4,Dallas Cowboys (DAL),6,0,1,1,0,0,0,1,12,12,75.5%,2018,2
5,Cincinnati Bengals (CIN),4,2,1,1,0,0,0,1,10,10,38.1%,2018,2
6,Los Angeles Chargers (LAC),5,2,0,0,0,0,0,1,10,10,58.2%,2018,2
7,Green Bay Packers (GB),2,1,0,0,0,0,0,1,10,10,84.7%,2018,2
8,Indianapolis Colts (IND),3,0,1,1,0,0,0,1,9,9,89.9%,2018,2
9,New York Jets (NYJ),4,0,2,2,0,0,0,1,9,9,1.6%,2018,2
10,Tennessee Titans (TEN),4,1,0,1,0,0,0,1,7,7,15.8%,2018,2
11,Tampa Bay Buccaneers (TB),3,0,2,1,0,0,0,1,7,7,95.2%,2018,2
12,Cleveland Browns (CLE),3,0,2,2,0,0,0,1,7,7,33.7%,2018,2
13,Seattle Seahawks (SEA),2,2,0,0,0,0,0,1,7,7,1.5%,2018,2
14,New Orleans Saints (NO),3,1,0,2,0,0,0,1,6,6,94.3%,2018,2
15,Philadelphia Eagles (PHI),2,1,1,1,0,0,0,1,6,6,29.7%,2018,2
16,Washington Commanders (WAS),1,2,0,0,0,0,0,1,5,5,40.8%,2018,2
17,Jacksonville Jaguars (JAC),2,0,1,1,0,0,0,1,5,5,1.3%,2018,2
18,Detroit Lions (DET),6,0,0,0,0,0,0,1,5,5,1.5%,2018,2
19,Atlanta Falcons (ATL),2,1,0,0,0,0,0,1,4,4,0.7%,2018,2
20,Minnesota Vikings (MIN),4,0,0,0,0,0,0,1,4,4,13.2%,2018,2
21,Las Vegas Raiders (LV),1,1,0,0,0,0,0,1,4,4,3.2%,2018,2
22,San Francisco 49ers (SF),2,0,1,1,0,0,0,1,4,4,95.5%,2018,2
23,New England Patriots (NE),0,1,1,2,0,0,0,1,3,3,46.5%,2018,2
24,Denver Broncos (DEN),1,0,0,0,0,0,0,1,3,3,50.3%,2018,2
25,Arizona Cardinals (ARI),2,1,0,0,0,0,0,1,3,3,3.3%,2018,2
26,Houston Texans (HOU),1,0,0,1,0,0,0,1,2,2,0.8%,2018,2
27,New York Giants (NYG),0,0,0,0,0,0,0,1,1,1,1.7%,2018,2
28,Pittsburgh Steelers (PIT),1,0,1,1,0,1,0,1,1,1,43.7%,2018,2
29,Carolina Panthers (CAR),0,1,0,2,0,0,0,1,1,1,3.1%,2018,2
30,Buffalo Bills (BUF),2,0,0,1,0,0,0,1,1,1,99.0%,2018,2
31,Baltimore Ravens (BAL),0,0,0,0,0,0,0,1,-1,-1,84.6%,2018,2
32,Kansas City Chiefs (KC),1,0,0,0,0,0,0,1,-3,-3,28.4%,2018,2
