Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Washington Commanders (WAS),2,2,2,3,0,0,0,1,17,17,40.8%,2018,10
2,Pittsburgh Steelers (PIT),5,1,1,1,1,0,0,1,15,15,43.7%,2018,10
3,Green Bay Packers (GB),6,1,1,0,0,0,0,1,14,14,84.7%,2018,10
4,Los Angeles Chargers (LAC),4,0,1,1,0,0,0,1,13,13,58.2%,2018,10
5,Chicago Bears (CHI),6,2,1,3,0,0,0,1,12,12,3.2%,2018,10
6,Buffalo Bills (BUF),3,2,0,0,0,0,0,1,11,11,99.0%,2018,10
7,Kansas City Chiefs (KC),5,2,0,1,0,0,0,1,10,10,28.4%,2018,10
8,New Orleans Saints (NO),4,2,0,0,0,0,0,1,9,9,94.3%,2018,10
9,Tennessee Titans (TEN),3,0,0,0,0,0,0,1,7,7,15.8%,2018,10
10,Cleveland Browns (CLE),2,0,2,2,0,0,0,1,7,7,33.7%,2018,10
11,Los Angeles Rams (LAR),4,0,1,1,0,0,0,1,5,5,67.3%,2018,10
12,Arizona Cardinals (ARI),5,0,0,1,0,0,0,1,5,5,3.3%,2018,10
13,Dallas Cowboys (DAL),2,1,0,0,0,0,0,1,5,5,75.5%,2018,10
14,Miami Dolphins (MIA),2,0,1,0,0,0,0,1,4,4,23.4%,2018,10
15,New York Giants (NYG),0,2,0,0,0,0,0,1,4,4,1.7%,2018,10
16,Tampa Bay Buccaneers (TB),3,0,0,0,0,0,0,1,4,4,95.2%,2018,10
17,Philadelphia Eagles (PHI),4,0,0,1,0,0,0,1,4,4,29.7%,2018,10
18,Las Vegas Raiders (LV),1,1,0,0,0,0,0,1,4,4,3.2%,2018,10
19,Indianapolis Colts (IND),0,0,1,1,0,0,0,1,3,3,89.9%,2018,10
20,New England Patriots (NE),2,0,0,1,0,0,0,1,1,1,46.5%,2018,10
21,Atlanta Falcons (ATL),0,1,0,1,0,0,0,1,1,1,0.7%,2018,10
22,San Francisco 49ers (SF),1,0,0,0,0,0,0,1,1,1,95.5%,2018,10
23,Jacksonville Jaguars (JAC),0,1,0,0,0,0,0,1,1,1,1.3%,2018,10
24,Detroit Lions (DET),1,0,0,0,0,0,0,1,0,0,1.5%,2018,10
25,Seattle Seahawks (SEA),2,0,0,0,0,0,0,1,-2,-2,1.5%,2018,10
26,New York Jets (NYJ),1,0,0,1,0,0,0,1,-3,-3,1.6%,2018,10
27,Carolina Panthers (CAR),1,0,0,0,0,0,0,1,-3,-3,3.1%,2018,10
28,Cincinnati Bengals (CIN),0,0,0,0,0,0,0,1,-4,-4,38.1%,2018,10
