Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Kansas City Chiefs (KC),3,2,2,3,1,0,0,1,24,24,28.4%,2018,17
2,New England Patriots (NE),4,0,3,3,1,0,0,1,23,23,46.5%,2018,17
3,Los Angeles Chargers (LAC),1,1,3,1,1,0,0,1,21,21,58.2%,2018,17
4,Philadelphia Eagles (PHI),4,1,0,1,0,0,0,1,16,16,29.7%,2018,17
5,Los Angeles Rams (LAR),3,3,1,1,1,0,0,1,16,16,67.3%,2018,17
6,Buffalo Bills (BUF),4,2,2,2,0,0,0,1,16,16,99.0%,2018,17
7,Detroit Lions (DET),3,1,0,0,0,0,0,1,15,15,1.5%,2018,17
8,Arizona Cardinals (ARI),6,1,0,0,0,0,0,1,15,15,3.3%,2018,17
9,Houston Texans (HOU),3,1,1,1,0,0,0,1,14,14,0.8%,2018,17
10,Seattle Seahawks (SEA),6,0,2,1,0,0,0,1,11,11,1.5%,2018,17
11,Cincinnati Bengals (CIN),1,1,0,1,1,0,0,1,10,10,38.1%,2018,17
12,Tennessee Titans (TEN),1,1,1,1,1,0,0,1,10,10,15.8%,2018,17
13,Indianapolis Colts (IND),0,2,1,0,0,0,0,1,10,10,89.9%,2018,17
14,Denver Broncos (DEN),1,2,2,0,0,0,0,1,10,10,50.3%,2018,17
15,Jacksonville Jaguars (JAC),6,0,1,0,0,0,0,1,9,9,1.3%,2018,17
16,Chicago Bears (CHI),4,0,0,0,0,0,0,1,8,8,3.2%,2018,17
17,Pittsburgh Steelers (PIT),4,0,0,2,0,0,0,1,8,8,43.7%,2018,17
18,Baltimore Ravens (BAL),0,3,0,0,0,0,0,1,6,6,84.6%,2018,17
19,Miami Dolphins (MIA),1,1,0,0,1,0,0,1,5,5,23.4%,2018,17
20,Washington Commanders (WAS),3,1,0,0,0,0,0,1,5,5,40.8%,2018,17
21,Carolina Panthers (CAR),2,1,0,0,0,0,0,1,5,5,3.1%,2018,17
22,Cleveland Browns (CLE),2,0,1,1,0,0,0,1,4,4,33.7%,2018,17
23,New York Giants (NYG),4,0,1,1,0,0,0,1,2,2,1.7%,2018,17
24,Atlanta Falcons (ATL),1,1,0,0,0,0,0,1,2,2,0.7%,2018,17
25,Tampa Bay Buccaneers (TB),1,1,0,0,0,0,0,1,2,2,95.2%,2018,17
26,Las Vegas Raiders (LV),0,1,0,0,0,0,0,1,1,1,3.2%,2018,17
27,Dallas Cowboys (DAL),1,1,1,1,0,0,0,1,1,1,75.5%,2018,17
28,New Orleans Saints (NO),1,0,0,0,0,0,0,1,0,0,94.3%,2018,17
29,New York Jets (NYJ),1,0,0,0,0,0,0,1,0,0,1.6%,2018,17
30,Minnesota Vikings (MIN),0,0,0,0,0,0,0,1,0,0,13.2%,2018,17
31,Green Bay Packers (GB),1,0,0,0,0,0,0,1,0,0,84.7%,2018,17
32,San Francisco 49ers (SF),0,0,0,0,0,0,0,1,-4,-4,95.5%,2018,17
