Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Miami Dolphins (MIA),2,1,2,0,2,0,0,1,20,20,58.2%,2021,18
2,Washington Commanders (WAS),3,2,1,0,1,0,0,1,19,19,40.4%,2021,18
3,Minnesota Vikings (MIN),7,2,0,0,1,0,0,1,18,18,12.2%,2021,18
4,Buffalo Bills (BUF),9,0,0,1,0,0,0,1,15,15,99.6%,2021,18
5,Jacksonville Jaguars (JAC),6,1,1,2,0,0,0,1,14,14,1.0%,2021,18
6,Pittsburgh Steelers (PIT),3,2,1,1,0,0,0,1,13,13,23.6%,2021,18
7,Cincinnati Bengals (CIN),1,1,1,1,1,0,0,1,11,11,22.4%,2021,18
8,New Orleans Saints (NO),3,1,2,3,0,0,0,1,10,10,80.6%,2021,18
9,Kansas City Chiefs (KC),1,0,1,1,1,0,0,1,9,9,41.6%,2021,18
10,San Francisco 49ers (SF),5,2,0,0,0,0,0,1,9,9,83.9%,2021,18
11,Detroit Lions (DET),4,2,1,2,0,0,0,1,9,9,1.1%,2021,18
12,Cleveland Browns (CLE),4,0,0,1,0,0,0,1,8,8,21.9%,2021,18
13,Tampa Bay Buccaneers (TB),2,1,1,1,0,0,0,1,7,7,95.4%,2021,18
14,Los Angeles Rams (LAR),3,2,0,1,0,0,0,1,7,7,69.6%,2021,18
15,Seattle Seahawks (SEA),5,0,1,1,0,0,0,1,7,7,5.1%,2021,18
16,Arizona Cardinals (ARI),1,1,1,1,1,0,0,1,7,7,14.4%,2021,18
17,Las Vegas Raiders (LV),3,1,1,0,0,0,0,1,6,6,6.4%,2021,18
18,Dallas Cowboys (DAL),3,1,0,0,0,0,0,1,5,5,73.8%,2021,18
19,New York Giants (NYG),3,0,0,0,0,0,0,1,4,4,1.8%,2021,18
20,Baltimore Ravens (BAL),1,1,0,0,0,0,0,1,4,4,44.1%,2021,18
21,Chicago Bears (CHI),3,0,0,1,0,0,0,1,3,3,2.9%,2021,18
22,Tennessee Titans (TEN),2,0,0,0,0,0,0,1,2,2,8.1%,2021,18
23,Indianapolis Colts (IND),1,0,0,0,0,0,0,1,1,1,57.4%,2021,18
24,New England Patriots (NE),1,0,0,0,0,0,0,1,1,1,46.6%,2021,18
25,Denver Broncos (DEN),1,0,0,0,0,0,0,1,1,1,44.1%,2021,18
26,Atlanta Falcons (ATL),1,0,0,0,0,0,0,1,0,0,0.5%,2021,18
27,Houston Texans (HOU),1,0,0,0,0,0,0,1,0,0,3.8%,2021,18
28,New York Jets (NYJ),0,0,0,1,0,0,0,1,0,0,2.0%,2021,18
29,Los Angeles Chargers (LAC),3,0,0,2,0,0,0,1,-1,-1,52.5%,2021,18
30,Philadelphia Eagles (PHI),1,0,0,0,0,0,0,1,-3,-3,40.7%,2021,18
31,Green Bay Packers (GB),1,0,0,0,0,0,0,1,-3,-3,75.5%,2021,18
32,Carolina Panthers (CAR),1,0,0,0,0,0,0,1,-3,-3,6.1%,2021,18
