Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Arizona Cardinals (ARI),6,1,2,2,0,0,0,1,16,16,14.4%,2021,1
2,New Orleans Saints (NO),2,2,1,1,0,0,0,1,15,15,80.6%,2021,1
3,Pittsburgh Steelers (PIT),3,0,1,4,0,0,1,1,14,14,23.6%,2021,1
4,San Francisco 49ers (SF),3,1,0,0,1,0,0,1,10,10,83.9%,2021,1
5,Philadelphia Eagles (PHI),3,0,0,0,0,0,0,1,10,10,40.7%,2021,1
6,Carolina Panthers (CAR),6,1,0,1,0,0,0,1,9,9,6.1%,2021,1
7,New England Patriots (NE),2,1,0,0,0,0,0,1,8,8,46.6%,2021,1
8,Los Angeles Rams (LAR),3,1,1,1,0,0,0,1,8,8,69.6%,2021,1
9,Denver Broncos (DEN),2,0,1,1,0,0,0,1,8,8,44.1%,2021,1
10,Dallas Cowboys (DAL),0,2,2,2,0,0,0,1,7,7,73.8%,2021,1
11,Las Vegas Raiders (LV),3,0,2,2,0,0,0,1,7,7,6.4%,2021,1
12,Houston Texans (HOU),1,3,0,1,0,0,0,1,7,7,3.8%,2021,1
13,Seattle Seahawks (SEA),3,0,1,0,0,0,0,1,6,6,5.1%,2021,1
14,Miami Dolphins (MIA),1,0,2,3,0,0,0,1,6,6,58.2%,2021,1
15,Washington Commanders (WAS),2,1,0,1,0,0,0,1,5,5,40.4%,2021,1
16,Minnesota Vikings (MIN),5,0,0,0,0,0,0,1,5,5,12.2%,2021,1
17,Kansas City Chiefs (KC),2,1,1,2,0,0,0,1,5,5,41.6%,2021,1
18,Cincinnati Bengals (CIN),3,0,1,1,0,0,0,1,5,5,22.4%,2021,1
19,Los Angeles Chargers (LAC),1,0,1,2,0,0,0,1,4,4,52.5%,2021,1
20,Indianapolis Colts (IND),3,0,1,1,0,0,0,1,4,4,57.4%,2021,1
21,Baltimore Ravens (BAL),3,1,0,0,0,0,0,1,4,4,44.1%,2021,1
22,New York Giants (NYG),2,0,1,1,0,0,0,1,4,4,1.8%,2021,1
23,New York Jets (NYJ),1,0,1,0,0,0,0,1,4,4,2.0%,2021,1
24,Tampa Bay Buccaneers (TB),1,1,0,0,0,0,0,1,2,2,95.4%,2021,1
25,Buffalo Bills (BUF),2,0,0,1,0,0,0,1,2,2,99.6%,2021,1
26,Cleveland Browns (CLE),2,0,0,0,0,0,0,1,1,1,21.9%,2021,1
27,Detroit Lions (DET),1,0,2,1,0,0,0,1,1,1,1.1%,2021,1
28,Chicago Bears (CHI),1,0,0,0,0,0,0,1,0,0,2.9%,2021,1
29,Atlanta Falcons (ATL),1,0,0,0,0,0,0,1,0,0,0.5%,2021,1
30,Tennessee Titans (TEN),2,1,0,0,0,0,0,1,0,0,8.1%,2021,1
31,Jacksonville Jaguars (JAC),1,0,0,0,0,0,0,1,-3,-3,1.0%,2021,1
32,Green Bay Packers (GB),0,0,0,0,0,0,0,1,-4,-4,75.5%,2021,1
