Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Chicago Bears (CHI),4,2,2,3,0,1,0,1,21,21,2.9%,2021,17
2,New Orleans Saints (NO),7,1,1,1,0,0,0,1,15,15,80.6%,2021,17
3,Tennessee Titans (TEN),4,1,1,1,0,0,0,1,15,15,8.1%,2021,17
4,Pittsburgh Steelers (PIT),9,2,0,0,0,0,0,1,14,14,23.6%,2021,17
5,Baltimore Ravens (BAL),1,2,1,1,1,0,0,1,14,14,44.1%,2021,17
6,Los Angeles Chargers (LAC),1,0,1,0,0,0,1,1,13,13,52.5%,2021,17
7,Los Angeles Rams (LAR),5,1,1,1,0,0,0,1,13,13,69.6%,2021,17
8,New England Patriots (NE),2,3,0,0,0,0,0,1,12,12,46.6%,2021,17
9,San Francisco 49ers (SF),3,1,0,2,0,0,0,1,9,9,83.9%,2021,17
10,Buffalo Bills (BUF),5,0,1,1,0,0,0,1,8,8,99.6%,2021,17
11,Atlanta Falcons (ATL),1,3,0,0,0,1,0,1,8,8,0.5%,2021,17
12,Indianapolis Colts (IND),2,2,0,2,0,0,0,1,6,6,57.4%,2021,17
13,Green Bay Packers (GB),2,0,0,0,0,0,0,1,6,6,75.5%,2021,17
14,Philadelphia Eagles (PHI),3,1,0,0,0,0,0,1,6,6,40.7%,2021,17
15,Seattle Seahawks (SEA),0,3,0,0,0,0,0,1,5,5,5.1%,2021,17
16,New York Giants (NYG),2,2,0,0,0,0,0,1,5,5,1.8%,2021,17
17,Cleveland Browns (CLE),2,1,0,1,0,0,0,1,4,4,21.9%,2021,17
18,Houston Texans (HOU),1,1,0,0,0,0,0,1,3,3,3.8%,2021,17
19,Kansas City Chiefs (KC),4,0,0,0,0,0,0,1,3,3,41.6%,2021,17
20,Tampa Bay Buccaneers (TB),1,0,1,1,0,0,0,1,3,3,95.4%,2021,17
21,Carolina Panthers (CAR),2,0,0,0,0,0,0,1,3,3,6.1%,2021,17
22,Arizona Cardinals (ARI),1,0,1,2,0,0,0,1,3,3,14.4%,2021,17
23,Washington Commanders (WAS),1,0,0,0,0,0,0,1,2,2,40.4%,2021,17
24,Las Vegas Raiders (LV),1,0,0,1,0,0,0,1,2,2,6.4%,2021,17
25,New York Jets (NYJ),1,1,0,0,0,0,0,1,2,2,2.0%,2021,17
26,Dallas Cowboys (DAL),1,0,0,0,0,0,0,1,1,1,73.8%,2021,17
27,Miami Dolphins (MIA),1,0,0,0,0,0,0,1,0,0,58.2%,2021,17
28,Denver Broncos (DEN),0,0,0,0,0,0,0,1,-1,-1,44.1%,2021,17
29,Cincinnati Bengals (CIN),0,0,0,0,0,0,0,1,-1,-1,22.4%,2021,17
30,Jacksonville Jaguars (JAC),0,0,0,0,0,0,0,1,-2,-2,1.0%,2021,17
31,Detroit Lions (DET),1,0,0,0,0,0,0,1,-3,-3,1.1%,2021,17
32,Minnesota Vikings (MIN),0,0,0,0,0,0,0,1,-4,-4,12.2%,2021,17
