Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,New England Patriots (NE),4,4,0,0,1,0,0,1,28,28,46.6%,2021,11
2,Houston Texans (HOU),2,4,1,2,0,0,0,1,16,16,3.8%,2021,11
3,Kansas City Chiefs (KC),5,2,1,2,0,0,0,1,15,15,41.6%,2021,11
4,Tampa Bay Buccaneers (TB),2,2,1,1,0,0,0,1,12,12,95.4%,2021,11
5,San Francisco 49ers (SF),3,0,2,1,0,0,0,1,11,11,83.9%,2021,11
6,Philadelphia Eagles (PHI),0,2,1,1,1,0,0,1,11,11,40.7%,2021,11
7,Cincinnati Bengals (CIN),2,1,1,1,0,0,0,1,10,10,22.4%,2021,11
8,Indianapolis Colts (IND),1,3,1,1,0,0,0,1,10,10,57.4%,2021,11
9,Baltimore Ravens (BAL),3,0,1,1,0,0,0,1,9,9,44.1%,2021,11
10,Chicago Bears (CHI),6,1,0,1,0,0,0,1,9,9,2.9%,2021,11
11,Detroit Lions (DET),1,2,0,0,0,0,0,1,9,9,1.1%,2021,11
12,Arizona Cardinals (ARI),4,0,0,1,0,0,0,1,8,8,14.4%,2021,11
13,Cleveland Browns (CLE),0,2,0,0,0,0,0,1,8,8,21.9%,2021,11
14,Dallas Cowboys (DAL),3,1,1,1,0,0,0,1,8,8,73.8%,2021,11
15,Atlanta Falcons (ATL),3,1,0,0,0,0,0,1,6,6,0.5%,2021,11
16,Miami Dolphins (MIA),2,0,1,1,0,0,0,1,5,5,58.2%,2021,11
17,Carolina Panthers (CAR),3,0,1,1,0,0,0,1,5,5,6.1%,2021,11
18,Las Vegas Raiders (LV),3,0,1,1,0,0,0,1,4,4,6.4%,2021,11
19,New Orleans Saints (NO),3,0,1,1,0,0,0,1,4,4,80.6%,2021,11
20,New York Giants (NYG),1,1,0,0,0,0,0,1,2,2,1.8%,2021,11
21,New York Jets (NYJ),0,1,0,0,0,0,0,1,2,2,2.0%,2021,11
22,Pittsburgh Steelers (PIT),2,1,0,0,0,0,0,1,2,2,23.6%,2021,11
23,Seattle Seahawks (SEA),2,0,0,2,0,0,0,1,2,2,5.1%,2021,11
24,Jacksonville Jaguars (JAC),2,0,0,1,0,0,0,1,1,1,1.0%,2021,11
25,Minnesota Vikings (MIN),2,0,0,1,0,0,0,1,1,1,12.2%,2021,11
26,Green Bay Packers (GB),2,0,0,1,0,0,0,1,1,1,75.5%,2021,11
27,Washington Commanders (WAS),1,0,0,0,0,0,0,1,1,1,40.4%,2021,11
30,Tennessee Titans (TEN),0,0,0,0,0,0,0,1,0,0,8.1%,2021,11
31,Los Angeles Chargers (LAC),3,0,0,1,0,0,0,1,-1,-1,52.5%,2021,11
32,Buffalo Bills (BUF),0,0,0,0,0,0,0,1,-4,-4,99.6%,2021,11
