Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Mark Andrews (BAL),107,153,"1,361",12.7,43,27,9,1,0,0,0,17,247.6,14.6,99.3%,2021
2,Travis Kelce (KC),92,134,"1,125",12.2,69,20,9,2,3,1,1,16,216.8,13.6,100.0%,2021
3,Dalton Schultz (DAL),78,104,808,10.4,32,8,8,0,0,0,0,17,169.8,10,94.4%,2021
4,George Kittle (SF),71,94,910,12.8,48,17,6,3,20,0,1,14,162.5,11.6,99.2%,2021
5,Rob Gronkowski (FA),55,88,802,14.6,42,20,6,0,0,0,0,12,143.7,12,1.7%,2021
6,Zach Ertz (ARI),74,112,763,10.3,47,9,5,1,4,0,0,17,143.7,8.5,30.9%,2021
7,Kyle Pitts (ATL),68,110,"1,026",15.1,61,25,1,0,0,0,0,17,142.6,8.4,38.9%,2021
8,Dawson Knox (BUF),49,71,587,12,53,14,9,0,4,0,0,15,139.6,9.3,79.9%,2021
9,Hunter Henry (NE),50,75,603,12.1,35,12,9,0,0,0,0,16,139.3,8.7,34.7%,2021
10,Dallas Goedert (PHI),56,76,830,14.8,45,18,4,0,0,0,0,15,137,9.1,91.9%,2021
11,Mike Gesicki (MIA),73,112,780,10.7,40,15,2,0,0,0,0,17,128.5,7.6,34.9%,2021
12,Noah Fant (SEA),68,90,670,9.9,35,9,4,0,0,0,0,16,125,7.8,33.6%,2021
13,Pat Freiermuth (PIT),60,79,497,8.3,24,2,7,0,0,0,1,16,121.7,7.6,91.4%,2021
14,Tyler Higbee (LAR),61,85,560,9.2,37,4,5,0,0,0,0,15,116.5,7.8,74.0%,2021
15,T.J. Hockenson (MIN),61,84,583,9.6,33,9,4,0,0,0,0,12,114.8,9.6,98.5%,2021
16,Jared Cook (FA),48,83,564,11.8,42,9,4,0,0,0,0,16,108.4,6.8,0.0%,2021
17,Tyler Conklin (NYJ),61,87,593,9.7,40,7,3,0,0,0,0,17,107.8,6.3,33.2%,2021
18,Darren Waller (LV),55,93,665,12.1,33,15,2,0,0,0,0,11,106,9.6,83.6%,2021
19,C.J. Uzomah (NYJ),49,63,493,10.1,55,13,5,0,0,0,0,16,103.8,6.5,0.4%,2021
20,Gerald Everett (LAC),48,63,478,10,41,8,4,3,20,0,2,15,93.8,6.3,77.6%,2021
