Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,New England Patriots (NE),1,4,2,1,0,1,0,1,25,25,52.5%,2019,7
2,Kansas City Chiefs (KC),9,0,1,3,1,0,0,1,24,24,46.4%,2019,7
3,Los Angeles Rams (LAR),5,1,2,3,1,0,0,1,21,21,34.8%,2019,7
4,Baltimore Ravens (BAL),1,1,1,0,2,0,0,1,18,18,90.6%,2019,7
5,Jacksonville Jaguars (JAC),2,3,1,1,1,0,0,1,17,17,22.8%,2019,7
6,Arizona Cardinals (ARI),8,1,2,3,0,0,0,1,15,15,9.3%,2019,7
7,San Francisco 49ers (SF),3,0,1,1,0,0,0,1,15,15,96.0%,2019,7
8,Dallas Cowboys (DAL),3,1,3,3,0,0,0,1,15,15,90.0%,2019,7
9,Buffalo Bills (BUF),1,1,1,2,0,0,1,1,11,11,96.0%,2019,7
10,New York Giants (NYG),2,0,0,0,0,0,0,1,10,10,24.7%,2019,7
11,New Orleans Saints (NO),2,0,2,2,0,1,0,1,10,10,62.8%,2019,7
12,Indianapolis Colts (IND),3,2,0,0,0,1,0,1,9,9,52.9%,2019,7
13,Washington Commanders (WAS),2,1,0,0,0,0,0,1,8,8,51.3%,2019,7
14,Los Angeles Chargers (LAC),2,1,0,1,0,0,0,1,4,4,42.7%,2019,7
15,Tennessee Titans (TEN),1,0,1,2,0,0,0,1,4,4,26.8%,2019,7
16,Chicago Bears (CHI),1,0,0,0,0,0,1,1,3,3,2.2%,2019,7
17,Minnesota Vikings (MIN),2,1,0,0,0,0,0,1,3,3,19.7%,2019,7
18,Houston Texans (HOU),1,0,1,0,0,0,0,1,2,2,0.8%,2019,7
19,Green Bay Packers (GB),0,1,0,1,0,0,0,1,2,2,67.2%,2019,7
20,Seattle Seahawks (SEA),1,0,0,1,0,0,0,1,2,2,15.0%,2019,7
21,Cincinnati Bengals (CIN),2,0,0,0,0,0,0,1,2,2,33.1%,2019,7
22,Philadelphia Eagles (PHI),3,1,0,1,0,0,0,1,1,1,57.2%,2019,7
23,Miami Dolphins (MIA),2,0,0,0,0,0,0,1,1,1,24.9%,2019,7
24,New York Jets (NYJ),0,1,0,0,0,0,0,1,1,1,19.1%,2019,7
25,Denver Broncos (DEN),1,0,0,0,0,0,0,1,1,1,32.3%,2019,7
26,Atlanta Falcons (ATL),0,0,0,0,0,0,0,1,-1,-1,2.7%,2019,7
27,Las Vegas Raiders (LV),1,0,0,0,0,0,0,1,-3,-3,11.2%,2019,7
28,Detroit Lions (DET),0,0,0,2,0,0,0,1,-4,-4,4.0%,2019,7
