Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Philadelphia Eagles (PHI),10,2,1,2,2,0,0,1,35,35,57.2%,2019,5
2,San Francisco 49ers (SF),4,2,2,2,0,0,0,1,19,19,96.0%,2019,5
3,Los Angeles Chargers (LAC),3,1,1,1,0,0,1,1,14,14,42.7%,2019,5
4,Carolina Panthers (CAR),2,0,3,2,1,0,0,1,14,14,7.6%,2019,5
5,New England Patriots (NE),6,1,1,2,0,0,0,1,14,14,52.5%,2019,5
6,Minnesota Vikings (MIN),4,1,0,0,0,1,0,1,12,12,19.7%,2019,5
7,Pittsburgh Steelers (PIT),5,3,0,0,0,0,0,1,11,11,50.2%,2019,5
8,Buffalo Bills (BUF),5,0,0,0,0,0,0,1,11,11,96.0%,2019,5
9,Indianapolis Colts (IND),4,0,1,1,0,0,0,1,10,10,52.9%,2019,5
10,Denver Broncos (DEN),0,2,0,1,0,0,0,1,10,10,32.3%,2019,5
11,Green Bay Packers (GB),3,3,0,1,0,0,0,1,9,9,67.2%,2019,5
12,Houston Texans (HOU),2,1,0,1,1,0,0,1,9,9,0.8%,2019,5
13,Las Vegas Raiders (LV),4,2,0,0,0,0,0,1,8,8,11.2%,2019,5
14,Tennessee Titans (TEN),4,1,0,0,0,0,0,1,7,7,26.8%,2019,5
15,New Orleans Saints (NO),6,0,0,1,0,0,0,1,6,6,62.8%,2019,5
16,Baltimore Ravens (BAL),1,1,1,2,0,0,0,1,5,5,90.6%,2019,5
17,Washington Commanders (WAS),4,1,0,0,0,0,0,1,5,5,51.3%,2019,5
18,New York Giants (NYG),3,0,1,2,0,0,0,1,4,4,24.7%,2019,5
19,New York Jets (NYJ),1,0,1,1,0,0,0,1,4,4,19.1%,2019,5
20,Jacksonville Jaguars (JAC),3,0,0,1,0,0,0,1,4,4,22.8%,2019,5
21,Chicago Bears (CHI),0,0,2,1,0,0,0,1,4,4,2.2%,2019,5
22,Kansas City Chiefs (KC),0,1,0,0,0,0,0,1,3,3,46.4%,2019,5
23,Seattle Seahawks (SEA),0,1,1,1,0,0,0,1,3,3,15.0%,2019,5
24,Cleveland Browns (CLE),2,0,0,0,0,0,0,1,3,3,42.7%,2019,5
25,Los Angeles Rams (LAR),1,0,1,1,0,0,0,1,2,2,34.8%,2019,5
26,Tampa Bay Buccaneers (TB),0,1,0,0,0,0,0,1,1,1,84.2%,2019,5
27,Arizona Cardinals (ARI),1,0,0,0,0,0,0,1,1,1,9.3%,2019,5
28,Dallas Cowboys (DAL),2,0,0,0,0,0,0,1,1,1,90.0%,2019,5
29,Cincinnati Bengals (CIN),1,0,0,0,0,0,0,1,1,1,33.1%,2019,5
30,Atlanta Falcons (ATL),0,0,1,3,0,0,0,1,-2,-2,2.7%,2019,5
