Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Pittsburgh Steelers (PIT),5,3,0,0,0,0,1,1,18,18,50.2%,2019,14
2,Denver Broncos (DEN),3,2,1,1,1,0,0,1,15,15,32.3%,2019,14
3,Los Angeles Rams (LAR),5,1,0,0,0,0,0,1,14,14,34.8%,2019,14
4,Atlanta Falcons (ATL),5,2,2,2,0,0,0,1,14,14,2.7%,2019,14
5,Minnesota Vikings (MIN),5,2,0,0,0,0,0,1,13,13,19.7%,2019,14
6,Indianapolis Colts (IND),1,3,1,1,1,0,0,1,11,11,52.9%,2019,14
7,Seattle Seahawks (SEA),0,2,0,0,1,0,0,1,11,11,15.0%,2019,14
8,Cleveland Browns (CLE),2,1,0,1,1,0,0,1,11,11,42.7%,2019,14
9,Tennessee Titans (TEN),2,0,1,1,1,0,0,1,10,10,26.8%,2019,14
10,Baltimore Ravens (BAL),6,0,1,2,0,0,0,1,9,9,90.6%,2019,14
11,Kansas City Chiefs (KC),3,1,0,0,0,0,0,1,8,8,46.4%,2019,14
12,Arizona Cardinals (ARI),3,0,2,3,0,0,0,1,7,7,9.3%,2019,14
13,New England Patriots (NE),1,1,1,2,0,0,0,1,7,7,52.5%,2019,14
14,Washington Commanders (WAS),4,0,1,1,0,0,0,1,7,7,51.3%,2019,14
15,Green Bay Packers (GB),4,1,0,2,0,0,0,1,7,7,67.2%,2019,14
16,Los Angeles Chargers (LAC),2,0,0,0,0,0,0,1,6,6,42.7%,2019,14
17,Cincinnati Bengals (CIN),1,2,0,0,0,0,0,1,5,5,33.1%,2019,14
18,Dallas Cowboys (DAL),2,1,1,1,0,0,0,1,5,5,90.0%,2019,14
19,New York Giants (NYG),3,0,1,1,0,0,0,1,5,5,24.7%,2019,14
20,New York Jets (NYJ),2,1,0,1,0,0,0,1,4,4,19.1%,2019,14
21,Miami Dolphins (MIA),1,1,0,1,0,0,0,1,3,3,24.9%,2019,14
22,Buffalo Bills (BUF),1,1,0,0,0,0,0,1,3,3,96.0%,2019,14
23,Philadelphia Eagles (PHI),2,0,0,1,0,0,0,1,3,3,57.2%,2019,14
24,Houston Texans (HOU),1,1,0,0,0,0,0,1,2,2,0.8%,2019,14
25,Chicago Bears (CHI),2,0,0,0,0,0,0,1,2,2,2.2%,2019,14
26,Tampa Bay Buccaneers (TB),1,0,1,1,0,0,0,1,2,2,84.2%,2019,14
27,Detroit Lions (DET),1,0,0,0,0,0,0,1,2,2,4.0%,2019,14
28,New Orleans Saints (NO),3,1,0,0,0,0,0,1,1,1,62.8%,2019,14
29,Las Vegas Raiders (LV),0,1,0,0,0,0,0,1,-2,-2,11.2%,2019,14
30,San Francisco 49ers (SF),0,0,1,2,0,0,0,1,-2,-2,96.0%,2019,14
31,Carolina Panthers (CAR),1,0,0,0,0,0,0,1,-3,-3,7.6%,2019,14
32,Jacksonville Jaguars (JAC),1,0,0,0,0,0,0,1,-3,-3,22.8%,2019,14
