Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
1,Travis Kelce (KC),104,145,"1,300",12.5,52,29,12,2,5,0,1,16,254.5,15.9,100.0%,2022
2,T.J. Hockenson (MIN),85,128,898,10.6,81,12,6,0,0,0,1,16,170.3,10.6,98.5%,2022
3,Mark Andrews (BAL),73,113,847,11.6,36,8,5,3,8,0,0,15,154,10.3,99.3%,2022
4,George Kittle (SF),56,80,736,13.1,54,20,9,0,0,0,1,14,153.6,11,99.2%,2022
5,Taysom Hill (NO),8,12,76,9.5,30,2,2,91,551,7,0,15,138.3,9.2,49.2%,2022
6,Evan Engram (JAC),69,94,739,10.7,36,11,4,2,13,0,0,16,135.7,8.5,85.1%,2022
7,Pat Freiermuth (PIT),63,96,732,11.6,57,13,2,0,0,0,0,14,116.7,8.3,91.4%,2022
8,Juwan Johnson (NO),41,64,487,11.9,41,9,7,0,0,0,0,15,111.2,7.4,25.1%,2022
9,Tyler Higbee (LAR),68,101,587,8.6,26,4,3,0,0,0,0,15,110.7,7.4,74.0%,2022
10,Dalton Schultz (DAL),53,80,544,10.3,30,6,5,0,0,0,1,14,108.9,7.8,94.4%,2022
11,Cole Kmet (CHI),46,64,487,10.6,50,9,6,2,9,0,0,16,108.6,6.8,69.8%,2022
12,Dallas Goedert (PHI),49,62,656,13.4,31,12,3,0,0,0,1,11,106.1,9.6,91.9%,2022
13,Dawson Knox (BUF),46,63,504,11,45,10,5,0,0,0,0,14,103.4,7.4,79.9%,2022
14,Gerald Everett (LAC),55,82,547,9.9,26,4,3,1,0,0,0,14,102.2,7.3,77.6%,2022
15,David Njoku (CLE),54,75,586,10.9,38,10,3,2,-8,0,1,13,100.8,7.8,82.4%,2022
16,Tyler Conklin (NYJ),56,83,539,9.6,30,7,3,2,3,0,0,16,100.2,6.3,33.2%,2022
17,Noah Fant (SEA),46,59,466,10.1,51,8,4,0,0,0,0,16,93.6,5.9,33.6%,2022
18,Zach Ertz (ARI),47,69,406,8.6,32,3,4,0,0,0,0,10,92.1,9.2,30.9%,2022
19,Robert Tonyan (GB),50,64,441,8.8,24,4,2,0,0,0,0,16,81.1,5.1,23.9%,2022
20,Hayden Hurst (CIN),50,65,425,8.5,29,5,2,0,0,0,0,13,79.5,6.1,35.8%,2022
