Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Baltimore Ravens (BAL),7,1,2,3,1,0,0,1,26,26,44.1%,2020,5
2,Cleveland Browns (CLE),1,2,0,0,1,1,0,1,13,13,21.9%,2020,5
3,Miami Dolphins (MIA),5,2,1,2,0,0,0,1,12,12,58.2%,2020,5
4,Los Angeles Rams (LAR),8,0,0,1,0,0,0,1,12,12,69.6%,2020,5
5,Indianapolis Colts (IND),1,2,0,1,0,0,1,1,12,12,57.4%,2020,5
6,New York Giants (NYG),2,1,1,0,1,0,0,1,11,11,1.8%,2020,5
7,Houston Texans (HOU),4,0,2,1,0,0,0,1,9,9,3.8%,2020,5
8,Dallas Cowboys (DAL),2,0,1,1,1,0,0,1,9,9,73.8%,2020,5
9,Tennessee Titans (TEN),1,2,1,1,0,0,0,1,8,8,8.1%,2020,5
10,Pittsburgh Steelers (PIT),5,2,0,0,0,0,0,1,8,8,23.6%,2020,5
11,Seattle Seahawks (SEA),3,1,1,2,0,0,0,1,7,7,5.1%,2020,5
12,Arizona Cardinals (ARI),3,0,0,0,0,0,0,1,7,7,14.4%,2020,5
13,Tampa Bay Buccaneers (TB),3,1,0,1,0,0,0,1,6,6,95.4%,2020,5
14,Minnesota Vikings (MIN),4,1,0,0,0,0,0,1,6,6,12.2%,2020,5
15,Chicago Bears (CHI),3,0,1,1,0,0,0,1,6,6,2.9%,2020,5
16,Carolina Panthers (CAR),2,1,0,1,0,0,0,1,5,5,6.1%,2020,5
17,Las Vegas Raiders (LV),3,1,0,0,0,0,0,1,4,4,6.4%,2020,5
18,Jacksonville Jaguars (JAC),1,2,0,0,0,0,0,1,4,4,1.0%,2020,5
19,Cincinnati Bengals (CIN),1,1,0,0,0,0,0,1,3,3,22.4%,2020,5
20,New Orleans Saints (NO),3,0,0,0,0,0,0,1,3,3,80.6%,2020,5
21,Los Angeles Chargers (LAC),2,1,0,1,0,0,0,1,3,3,52.5%,2020,5
22,Washington Commanders (WAS),1,1,0,1,0,0,0,1,2,2,40.4%,2020,5
23,New York Jets (NYJ),1,1,0,0,0,0,0,1,2,2,2.0%,2020,5
27,Atlanta Falcons (ATL),0,0,0,0,0,0,0,1,0,0,0.5%,2020,5
29,Philadelphia Eagles (PHI),1,0,1,1,0,0,0,1,-1,-1,40.7%,2020,5
30,Kansas City Chiefs (KC),1,1,0,0,0,0,0,1,-1,-1,41.6%,2020,5
31,San Francisco 49ers (SF),2,0,0,0,0,0,0,1,-2,-2,83.9%,2020,5
32,Buffalo Bills (BUF),0,0,0,0,0,0,0,1,-4,-4,99.6%,2020,5
