Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Miami Dolphins (MIA),2,2,2,2,1,0,1,1,23,23,58.2%,2020,8
2,Philadelphia Eagles (PHI),4,0,2,2,1,1,0,1,20,20,40.7%,2020,8
3,Pittsburgh Steelers (PIT),4,2,2,3,1,0,0,1,18,18,23.6%,2020,8
4,Indianapolis Colts (IND),5,1,1,1,1,0,0,1,15,15,57.4%,2020,8
5,Dallas Cowboys (DAL),4,2,2,3,0,0,0,1,13,13,73.8%,2020,8
6,Las Vegas Raiders (LV),0,0,1,1,0,0,0,1,9,9,6.4%,2020,8
7,Kansas City Chiefs (KC),1,0,1,1,0,0,0,1,7,7,41.6%,2020,8
8,Tampa Bay Buccaneers (TB),3,2,0,0,0,0,0,1,7,7,95.4%,2020,8
9,Seattle Seahawks (SEA),3,1,1,1,0,0,0,1,7,7,5.1%,2020,8
10,New Orleans Saints (NO),5,1,0,0,0,0,0,1,7,7,80.6%,2020,8
11,Atlanta Falcons (ATL),3,1,0,0,0,0,0,1,6,6,0.5%,2020,8
12,Los Angeles Rams (LAR),1,0,2,2,0,0,0,1,5,5,69.6%,2020,8
13,Denver Broncos (DEN),2,2,0,0,0,0,0,1,5,5,44.1%,2020,8
14,Baltimore Ravens (BAL),2,0,1,2,0,0,0,1,4,4,44.1%,2020,8
15,New York Giants (NYG),2,0,1,1,0,0,0,1,4,4,1.8%,2020,8
16,Cincinnati Bengals (CIN),1,1,0,0,0,0,0,1,4,4,22.4%,2020,8
17,Buffalo Bills (BUF),2,0,1,1,0,0,0,1,4,4,99.6%,2020,8
18,Carolina Panthers (CAR),2,1,0,0,0,0,0,1,4,4,6.1%,2020,8
19,Cleveland Browns (CLE),2,0,0,1,0,0,0,1,3,3,21.9%,2020,8
20,Minnesota Vikings (MIN),1,0,1,1,0,0,0,1,3,3,12.2%,2020,8
21,New England Patriots (NE),1,1,0,0,0,0,0,1,3,3,46.6%,2020,8
22,Los Angeles Chargers (LAC),2,1,0,0,0,0,0,1,3,3,52.5%,2020,8
23,Chicago Bears (CHI),1,0,0,3,0,0,0,1,1,1,2.9%,2020,8
27,Green Bay Packers (GB),1,0,0,0,0,0,0,1,0,0,75.5%,2020,8
29,Tennessee Titans (TEN),0,0,0,0,0,0,0,1,-1,-1,8.1%,2020,8
30,San Francisco 49ers (SF),2,0,0,0,0,0,0,1,-2,-2,83.9%,2020,8
31,Detroit Lions (DET),2,0,0,1,0,0,0,1,-2,-2,1.1%,2020,8
32,New York Jets (NYJ),0,0,0,1,0,0,0,1,-4,-4,2.0%,2020,8
