Rank,Player,SACK,INT,FR,FF,DefTD,SFTY,SpcTD,G,FPTS,FPTS/G,ROST,Season,Week
1,Washington Commanders (WAS),8,2,1,2,0,0,0,1,15,15,40.4%,2020,1
2,Baltimore Ravens (BAL),2,1,2,3,0,0,0,1,15,15,44.1%,2020,1
3,New Orleans Saints (NO),3,2,1,1,1,0,0,1,15,15,80.6%,2020,1
4,Los Angeles Chargers (LAC),3,1,1,1,0,0,0,1,11,11,52.5%,2020,1
5,New England Patriots (NE),1,3,0,0,0,0,0,1,11,11,46.6%,2020,1
6,Buffalo Bills (BUF),3,1,1,1,0,0,0,1,8,8,99.6%,2020,1
7,Pittsburgh Steelers (PIT),3,2,0,0,0,0,0,1,8,8,23.6%,2020,1
8,Kansas City Chiefs (KC),4,1,0,0,0,0,0,1,7,7,41.6%,2020,1
9,New York Jets (NYJ),3,0,2,2,0,0,0,1,7,7,2.0%,2020,1
10,Seattle Seahawks (SEA),2,1,1,1,0,0,0,1,6,6,5.1%,2020,1
11,Jacksonville Jaguars (JAC),1,2,0,0,0,0,0,1,6,6,1.0%,2020,1
12,Green Bay Packers (GB),2,1,0,0,0,1,0,1,5,5,75.5%,2020,1
13,Los Angeles Rams (LAR),3,0,0,0,0,0,0,1,4,4,69.6%,2020,1
14,San Francisco 49ers (SF),2,1,0,2,0,0,0,1,4,4,83.9%,2020,1
15,New York Giants (NYG),2,0,1,1,0,0,0,1,4,4,1.8%,2020,1
16,Arizona Cardinals (ARI),3,0,0,0,0,0,0,1,4,4,14.4%,2020,1
17,Dallas Cowboys (DAL),1,1,0,0,0,0,0,1,4,4,73.8%,2020,1
18,Indianapolis Colts (IND),4,0,0,0,0,0,0,1,4,4,57.4%,2020,1
19,Philadelphia Eagles (PHI),3,0,0,1,0,0,0,1,3,3,40.7%,2020,1
20,Cincinnati Bengals (CIN),2,0,0,0,0,0,0,1,3,3,22.4%,2020,1
21,Chicago Bears (CHI),1,1,0,0,0,0,0,1,3,3,2.9%,2020,1
22,Tennessee Titans (TEN),0,0,1,2,0,0,0,1,3,3,8.1%,2020,1
23,Denver Broncos (DEN),1,0,0,0,0,0,0,1,2,2,44.1%,2020,1
24,Miami Dolphins (MIA),2,0,0,1,0,0,0,1,2,2,58.2%,2020,1
25,Detroit Lions (DET),1,0,0,1,0,0,0,1,1,1,1.1%,2020,1
26,Houston Texans (HOU),1,0,0,0,0,0,0,1,0,0,3.8%,2020,1
27,Las Vegas Raiders (LV),1,0,0,0,0,0,0,1,0,0,6.4%,2020,1
28,Cleveland Browns (CLE),2,0,1,1,0,0,0,1,0,0,21.9%,2020,1
29,Tampa Bay Buccaneers (TB),1,0,0,0,0,0,0,1,0,0,95.4%,2020,1
30,Atlanta Falcons (ATL),3,0,0,0,0,0,0,1,-1,-1,0.5%,2020,1
31,Carolina Panthers (CAR),0,0,0,1,0,0,0,1,-1,-1,6.1%,2020,1
32,Minnesota Vikings (MIN),0,0,0,1,0,0,0,1,-4,-4,12.2%,2020,1
